X,Y,Z
420.2858182446332,332.54893986544243,214.79777834574762
414.8733315757949,333.1630128340454,219.19412938369703
354.8107999420835,324.45101458266913,135.3205155724927
349.3874631004506,325.0637444763857,139.70369621774068
420.4136449613741,339.50032337447885,213.9841953820272
415.0011582925357,340.1143963430818,218.38054641997658
355.67495687874094,331.49346701895433,135.40073169322636
350.283311138533,332.1101178533189,139.82238058608704
391.7610271837915,329.0210047234509,180.17278129057058
386.34854051495313,329.6350776920538,184.56913232851997
391.88885397056856,335.97238918245085,179.35919828038507
386.47636730173025,336.58646215105375,183.7555493183345
396.1982134138975,329.5697936880894,185.55888777855355
390.9135535318363,337.13525111569226,189.14165580631743
390.78572674505926,330.1838666566923,189.95523881650297
396.32604020067464,336.52117814708936,184.74530476836804
397.27561592876174,388.1600316117872,178.7015521554311
392.83842955858324,387.6112407472217,173.31544576037828
387.425942889745,388.22531371582465,177.71179679832767
391.8631292599235,388.7741045803901,183.09790319338052
390.4022464547642,309.329714229656,192.39598780059438
385.9650602246581,308.7809252650175,187.0098813126114
391.3775468934964,308.16685229641456,182.613530274662
395.81473312360254,308.71564126105307,187.99963676264497
450.3230801022806,323.42906400206004,141.5953773990595
445.8858938721745,322.88027503742154,136.20927091107654
446.01372065895157,329.8316594964215,135.39568790089103
450.45090688905765,330.38044846106,140.781794388874
