I,J,K
9,2,8
3,6,2
13,4,15
5,0,4
15,0,12
14,5,13
7,9,11
6,8,2
7,10,6
8,21,9
1,12,0
8,24,12
10,25,8
11,17,10
18,16,17
15,19,13
10,16,15
13,18,11
20,22,23
14,21,20
14,23,12
12,22,8
15,26,10
25,27,24
12,27,15
13,9,14
9,3,2
3,7,6
13,5,4
5,1,0
15,4,0
14,1,5
7,3,9
6,10,8
7,11,10
8,22,21
1,14,12
8,25,24
10,26,25
11,18,17
18,19,16
15,16,19
10,17,16
13,19,18
20,21,22
14,9,21
14,20,23
12,23,22
15,27,26
25,26,27
12,24,27
13,11,9
