I,J,K
3103,3996,2603
2276,2428,686
1383,592,4901
2170,527,1600
4402,5361,4465
4502,4499,4517
4998,3313,1523
4408,2620,1176
3351,3198,693
4693,818,2281
5033,1843,3893
262,3157,266
597,1591,3924
2174,3326,1844
5336,505,868
4431,2841,150
4605,2307,2476
1028,1245,2635
5658,150,2841
2567,5666,2718
1160,1505,1168
3814,4518,5664
2841,5537,5658
4695,4615,1061
5666,2614,3486
2841,2922,5537
5658,5537,2614
588,5668,4003
1158,5537,2922
2040,4047,5659
2736,3499,5392
5392,5537,1157
1723,3688,3921
5392,3486,2614
5666,3486,5663
5666,5663,5659
503,613,3030
5659,5663,3887
2040,3359,3842
1692,1662,1916
3737,853,3163
1748,269,2091
1445,2040,402
4997,5129,4731
5663,3486,3887
1623,2046,2001
2656,4003,5657
3499,710,5656
998,1564,997
760,2436,460
4997,402,5129
5668,588,1239
5406,1843,5033
2806,1700,2140
3370,4736,3089
3421,2638,5675
5060,1286,5076
4966,4466,4378
59,1333,3710
3284,3485,1707
1600,5117,901
2881,238,3652
4408,2266,5185
2620,4408,5185
193,1586,3112
5677,5406,5033
1719,1156,1475
3650,3018,4296
1878,2036,4401
914,3048,2110
4033,3613,1022
3842,5129,402
6884,5164,4141
5664,4654,3814
3746,2853,5129
213,2303,858
4731,5129,1876
47,4654,5664
1799,197,4245
3814,4654,3887
3887,4654,3359
3301,1374,3357
1729,1557,1665
1374,3613,3357
5657,4003,5668
5053,2656,5026
4654,5053,3664
3359,4654,3664
3357,5657,3301
2656,5657,5026
2853,3746,3664
1876,5670,5279
1951,1594,3346
2014,2918,4778
411,1438,71
2853,4975,5670
3502,1174,1149
1861,1385,1744
3335,2832,3371
3698,67,2787
3135,1339,4500
3359,3746,3842
5666,2567,2614
1900,1639,1525
527,2170,1276
3096,2718,4047
2922,2841,4431
1275,2922,4431
47,2656,5053
1746,1582,3551
3877,338,1491
5065,5272,4550
47,5053,4654
2652,2536,3467
2146,1626,2487
1088,5681,1052
1548,1399,72
1706,4267,597
5664,5392,5656
4767,1160,1168
6564,5010,2779
1158,1157,5537
2963,5228,1886
5537,5392,2614
3981,1963,1395
5664,4518,5392
3499,5656,5392
4047,2040,1445
2718,5659,4047
39,989,1597
5659,2718,5666
3486,3814,3887
1221,2964,1424
4975,5026,5657
3486,5392,4518
781,4413,3083
5664,5656,47
3486,4518,3814
5026,4975,3664
4975,5279,5670
3664,4975,2853
2935,3495,1489
263,4159,83
6223,6507,6472
1876,4033,4344
1507,493,2351
1502,2431,2003
146,4159,3614
196,4015,2935
4808,3089,4736
4026,258,959
473,2533,4028
2144,1151,2849
5688,5523,3471
5691,4612,2874
5243,4036,98
2134,292,4612
1178,1287,1881
4612,1114,3393
914,2110,968
312,232,3131
3830,3436,3520
2874,4022,5692
2874,5692,5691
5040,2874,4612
1944,5692,4022
872,1971,3056
1079,1197,3674
541,1473,1297
1515,627,48
6326,3274,6333
1107,427,3244
2645,4737,854
4820,3251,330
4612,5691,5523
2809,4612,5523
5523,5691,3471
995,3075,593
853,1547,3163
2935,4015,3495
2720,2381,653
3471,5692,4771
5523,5688,2809
4771,5692,1944
1112,5699,5672
3941,320,1661
5688,4505,2809
4934,3471,4771
684,320,5030
4286,6083,5700
4745,2154,4294
5161,6883,5932
4771,4144,1722
1205,3790,366
4976,1200,5698
1722,4934,4771
1889,1338,2131
2895,2894,201
3043,2048,412
993,625,684
625,1621,3995
5698,1200,1048
4144,5689,2895
4144,1200,4976
775,2914,1035
390,4630,2085
3606,3109,2751
2134,2149,1856
3300,1422,1187
3316,940,4219
2539,4283,3766
3402,4015,4740
3374,2512,3555
4409,3450,3900
2425,1721,4527
2780,1589,2900
345,4083,4603
2894,5687,813
3799,948,4725
3532,6828,6918
2118,1423,2444
5188,4251,5292
4085,2266,4408
2132,918,3697
4956,1508,1918
793,767,1387
934,5188,4595
2377,1084,1279
2485,1590,2278
6405,5829,6731
3423,5166,4436
1743,363,3316
3723,985,986
1472,4083,3863
4080,3305,3398
1459,1692,2550
4170,199,2704
345,1152,3863
2309,2302,2719
1791,964,2539
3402,813,5687
80,3100,1136
2851,2956,2288
5396,6355,5603
5188,5292,4595
1889,3495,4251
2250,1152,1102
4934,3578,5688
3402,5687,3581
4595,2250,1102
4928,1793,5205
3495,4015,4251
4251,4015,5292
3573,4327,1303
436,2029,3720
4083,1472,3159
1472,3863,2245
2250,2245,1152
2433,3965,764
3402,3215,4015
4976,5689,4144
2894,813,201
3471,5691,5692
4612,3393,5040
1722,4144,2895
4771,1944,4144
1889,4251,5188
1099,3555,3339
1099,3339,453
535,266,2184
5188,1338,1889
486,5384,3371
1365,2347,3259
5092,3483,1439
4612,2809,2134
321,3669,4862
1292,643,1450
2245,3215,3581
248,4133,1605
2270,519,1629
3944,5260,4993
799,3606,500
1472,3581,3159
922,277,5170
2953,1892,1015
4603,4083,1048
3373,3520,5261
5689,2894,2895
1729,511,3827
456,667,943
4505,5688,3578
1457,1048,1200
529,2059,4176
3058,3766,3043
4404,1329,2226
1101,2569,1780
1244,1938,4104
564,1915,2392
5688,3471,4934
2894,3159,5687
5557,2135,5554
2612,4080,1690
2250,5292,3215
3438,728,4607
347,528,371
4001,2975,4508
4127,1207,5177
1048,4083,5698
3613,5279,3357
3159,3581,5687
2999,1386,3102
1302,508,3322
2740,2848,4295
1091,4828,4405
721,2495,3038
3066,628,826
428,1731,62
2167,3270,2923
1150,2548,2776
2412,3009,2496
938,2914,3433
1117,3615,3572
127,224,330
997,714,748
1629,2233,999
5587,4149,1968
959,149,2281
578,4116,2687
1439,4031,497
4828,644,2267
2169,1206,1439
3618,1635,1608
4767,1167,2595
2859,2027,2160
3931,2982,454
2501,881,2729
3696,849,3177
1772,3169,2461
781,4995,4413
674,3443,1940
2302,2309,1459
68,3014,2826
3558,320,3941
2309,5030,3558
104,1888,103
291,4222,288
993,1362,1975
3385,154,1938
1915,4183,2392
3906,4104,2554
568,39,1597
883,1256,3689
4705,2242,1530
1725,1960,2498
710,5215,47
2688,4418,3584
214,422,1929
738,3363,2012
2214,1575,3132
2631,4067,3160
2127,3862,818
471,2196,1141
4254,5002,2961
3236,643,5280
937,695,4788
385,851,1521
863,2334,2219
1766,4121,2207
189,3065,4552
1217,276,4729
2502,1636,2562
1194,1052,5681
794,1085,4620
1894,2009,3630
4676,668,3659
3991,2416,4699
4078,427,929
4562,5714,1786
893,802,3668
4224,5545,2408
2125,1968,603
2645,854,3540
902,5766,996
325,3304,516
2286,306,3740
3503,4551,2996
3297,3929,1899
3109,1534,2776
3346,1594,3058
3058,3043,2775
2572,928,1594
5080,4435,417
5207,5056,5726
1938,370,3826
2003,4810,1502
2172,37,38
1851,2392,4183
2351,2664,1507
555,3856,3423
2074,3963,3423
4435,577,2593
4900,419,6216
1411,4143,3875
1563,5401,1348
2605,2558,1950
3485,1151,4912
832,2642,581
3827,511,600
3906,992,3370
1130,1704,3145
2601,1454,2094
1217,343,2006
4965,486,4052
3264,5919,1112
1985,85,231
1333,1842,4281
1499,75,1466
3097,4593,4592
2643,426,2281
4187,2081,3654
687,3675,1694
2912,2418,1920
1782,1207,3583
2751,2776,2548
3204,4076,502
895,4134,1953
2842,4008,3220
5183,1396,3951
1481,1248,493
3774,605,4774
154,2351,1248
3478,3870,4309
3398,1851,4183
2641,1215,2296
542,2322,391
215,4864,2571
3234,4266,650
6362,5734,3003
2315,2213,4740
710,650,5215
4083,3159,5698
3599,3754,2449
3671,4090,3233
4372,2180,4364
847,1479,739
929,427,252
1012,2646,252
4767,2595,313
2383,5645,4275
4877,2760,470
3063,2055,4420
3942,3696,3177
261,4172,3093
3641,1714,4037
1695,3333,4714
806,2844,1410
2566,1267,4629
2898,5532,3085
431,1579,2759
2611,3790,3836
522,4956,1767
1603,250,1690
5198,3871,5206
326,865,4670
3033,4017,2561
220,3734,1849
898,2963,3559
679,2161,1738
3501,2282,3789
224,4935,3365
2152,1384,2151
2774,5013,5089
527,2276,5117
4079,303,1062
960,186,2704
491,4952,1230
2156,5032,5363
5043,81,2213
352,1290,2603
3856,3265,4266
2305,2667,2465
3127,1333,3245
1522,1909,5394
1511,1449,1216
2123,3133,3439
182,140,311
4014,4469,4554
1905,30,4521
4970,1201,288
1385,3358,2743
4418,2688,3769
1771,3966,2891
2872,1270,2785
252,427,1107
567,156,516
5056,4901,5727
1676,775,1035
2694,3781,1539
5635,3963,5564
2672,2673,2202
3770,778,267
4823,6418,450
1366,3090,2551
917,4282,1484
3338,2835,3115
2051,2368,1568
2658,2137,3728
792,1441,2437
4935,224,127
2648,3172,4746
3155,4441,3827
4820,4238,4201
68,1790,3693
1548,1064,1829
4227,2948,19
739,1287,1513
3642,4690,4653
2859,2616,3377
3719,3437,3762
4671,3284,3968
818,2643,2281
2298,4593,3097
5072,1448,568
4556,3722,2092
3700,1726,2366
1814,1098,1375
621,2406,3553
1202,3880,1070
2678,4733,334
516,3304,567
1367,806,3544
3822,2980,2978
294,4030,6294
1959,2269,3083
142,1299,2867
4302,316,1323
887,2100,1271
5307,2586,5326
4844,3058,2775
5635,2694,1539
3168,4890,4196
759,1074,612
800,873,1620
4265,650,4266
3423,4436,2074
3455,562,5343
906,4050,3063
5043,1716,2013
3124,2243,994
622,897,1602
568,1597,1035
442,2544,2713
2089,1409,2095
203,4667,3715
5060,3442,3070
3815,1580,5317
2381,2088,4023
3724,3725,455
203,3715,424
5203,3336,3386
2006,3464,2660
5374,4289,1211
482,3630,2009
4728,492,832
1773,3437,3719
101,1065,3292
1858,779,1857
926,1287,4895
3270,1189,2923
2409,2000,2762
205,2279,51
2624,1320,879
324,278,3574
2139,1456,4838
2577,1745,2846
3939,2152,2446
1224,3994,1053
3771,3696,3767
752,3271,4777
1976,1442,2983
3248,1355,4627
1951,3886,2887
3733,953,3751
4342,3049,953
1823,2586,5636
66,436,2941
4661,1949,2132
925,2060,940
454,5564,5755
4340,562,3213
1991,2522,56
1687,4981,3693
1431,4069,2028
398,1025,2503
425,2536,1997
3073,2465,2667
969,1256,45
1235,988,2058
20,1571,1733
1704,2703,689
2961,2241,4254
2157,3628,2836
2431,2601,2003
1028,3540,930
3707,132,1288
3786,630,3974
4807,807,2097
2634,3447,222
3246,2472,2289
3451,5694,339
1496,983,1555
3710,1325,3832
6498,2820,3577
3354,560,1093
3239,932,464
3616,548,2529
368,1482,98
3202,731,4910
3206,1172,1569
2816,336,2772
1972,783,3392
5170,121,922
6035,2821,5582
2711,864,3289
3781,5307,277
1368,1610,3253
3455,5343,1743
3488,61,5043
64,590,849
1693,2514,3108
3874,2929,2930
4970,4222,4085
2458,2409,4914
339,5694,709
1064,1548,1037
5694,3451,3862
2483,3352,275
818,2318,2650
4542,3776,3311
1021,3260,1345
486,3371,2832
2254,4149,3348
592,5727,4901
1195,3686,984
2297,430,3633
6022,5325,5307
3733,2072,953
2114,1598,589
4890,147,5295
1209,1272,3012
84,607,4304
2652,1136,3100
5048,4755,5756
2455,2359,420
2418,2912,1835
2005,3846,4452
863,462,2196
4910,2834,2408
3910,1051,3627
5754,5757,2549
2640,1125,1380
709,5694,5749
1286,5060,2170
1527,974,976
3089,1522,319
607,91,4304
2613,1243,2403
754,554,3049
3764,400,2952
1005,1193,1134
1029,394,2565
4766,2830,2395
2793,3832,1325
5661,552,701
1267,1605,4133
2357,2970,1017
2233,2933,5295
2395,4737,4766
4031,1903,497
1401,1799,4245
3204,3569,3203
1431,547,3734
4594,3443,97
2328,4334,3742
277,5307,5325
5725,2982,277
4437,2498,1960
3608,2193,1289
1847,1007,1850
3578,2716,4984
2718,3096,3072
701,702,5661
3740,306,160
2033,3318,1079
3782,3408,256
766,3189,1129
654,3214,2737
228,2943,2708
3828,4018,1720
1809,937,4788
582,1044,3263
4902,1443,3084
3145,1760,3176
4749,2645,3540
985,2453,671
1627,1608,3230
4620,1806,794
4156,238,2681
272,1086,283
250,3886,81
2741,2942,2402
5129,2853,1876
461,2088,1935
380,862,3709
2616,293,1126
4318,3745,770
2851,1540,1055
1597,2792,1035
853,2905,2932
2697,1884,4659
2983,1442,218
725,2002,465
4009,4010,1814
2988,2664,1781
3232,146,3614
452,3905,2640
3002,232,312
3076,430,1879
949,49,2214
3659,1025,398
2973,1424,945
3550,2930,1595
3529,3729,1047
3482,1655,595
513,4358,488
1360,4055,2103
284,36,381
2661,1961,1061
5072,5742,1448
5754,2383,4275
3210,2581,536
4922,1003,1754
958,594,1163
4561,2845,3334
6918,5704,1828
3984,3214,3404
1341,3652,4613
703,1813,465
156,640,598
3830,2003,3436
1944,4022,1790
4342,953,1417
2221,4659,2265
2225,2066,200
132,3630,1288
945,905,342
2907,4125,3000
2280,3470,1788
64,1940,1831
874,3091,3988
1370,4558,4590
1951,2124,2572
1582,3328,3551
4641,2298,2004
1329,2255,158
1217,4019,637
760,1040,131
1199,36,1095
6388,6241,5558
5017,2161,1321
234,3829,2634
3892,2279,729
4275,5645,5644
4423,5628,3927
1775,2790,394
1418,538,3075
1463,899,212
855,520,1647
308,307,876
2577,1910,2290
4002,214,1686
1770,1274,2234
567,457,156
5991,659,404
3695,3275,1556
4835,3203,1943
3475,2692,437
3894,380,1165
2338,2227,1303
698,3035,1464
6136,5963,6424
1544,5303,5645
5742,3295,5303
1722,3374,711
5106,4217,4345
258,149,959
2650,5038,3037
4788,3492,227
3912,5195,2777
1424,2964,945
989,2792,1597
3941,546,1662
3426,5545,4224
3317,1910,3258
1221,1092,2964
2998,1850,2137
255,5742,2366
1383,2133,592
249,22,1214
3700,2366,1544
4038,722,4918
422,214,4002
921,4200,1246
3797,41,3779
404,3083,4413
4608,2654,1280
4501,1747,934
1118,4887,1456
185,2410,3093
5893,3246,6827
5096,5014,3190
3894,3910,380
2136,413,2887
3878,5165,825
1350,535,1039
1052,3361,987
2057,584,1922
3317,3016,1910
603,2768,2730
3204,5598,4076
1809,4788,2125
1196,1035,3139
422,2440,3562
1525,869,247
437,3477,2120
5311,5010,902
3313,2257,1379
5150,4107,5198
817,1376,168
1747,5188,934
1627,3366,1608
1538,1602,897
2632,4974,5348
4675,3600,3454
4835,5598,3203
3203,3569,1943
4176,2059,111
3223,3387,653
2425,4527,638
5137,1860,6418
1550,2105,1749
541,3174,2488
5379,3440,73
305,287,278
3059,725,2682
2606,5070,1427
2644,1631,3010
1742,1750,1939
3129,2871,2424
4516,2630,4001
3107,2784,3411
348,3547,3657
824,2035,4660
946,3038,2495
266,535,1350
1441,2817,2672
176,2059,1279
3990,3547,3119
2777,2778,4525
1757,2380,2379
4196,1958,3168
285,1324,3568
1937,4724,262
4741,4486,5910
5368,4103,5533
154,3385,1362
489,3212,5717
4718,2587,1667
1819,2578,4205
2307,2738,3209
2857,805,820
2930,2811,2079
3185,3350,3514
4602,2393,1295
278,669,305
1323,177,2274
1442,1976,3084
1705,4285,1549
1404,4837,5372
3694,730,2964
2373,2710,1406
1019,3763,2236
1752,3469,493
1771,3238,3232
3314,3243,2969
1125,3905,3118
5268,5777,5105
3454,4958,4328
2521,2328,1631
1915,3913,4183
4132,420,4089
2121,111,176
5286,6262,6237
445,1983,3807
3580,1481,992
4631,2732,1852
245,1978,1323
864,2711,4230
2235,1680,270
4044,4330,5263
38,1580,2172
464,932,3191
3771,2595,3171
51,2413,599
1280,2654,2042
2583,3976,1277
4436,5166,650
4623,2967,2282
585,5048,5756
3509,4667,2709
4256,1850,94
2789,4332,3086
487,488,1970
3616,4239,376
1957,4419,1848
2979,2328,1882
1450,2227,2295
3088,4378,3367
2715,1795,3845
54,948,3087
2590,260,4661
4997,4731,3714
4455,4458,3672
2291,2539,964
1555,3785,299
593,4757,995
3425,3118,2756
3451,339,1403
2968,3543,2203
3877,4400,2465
1556,3625,1179
3372,4754,3007
492,1258,1821
1963,76,1954
4134,2596,4961
3562,245,271
658,2114,589
272,1901,1946
4340,537,5343
1706,674,2770
4583,4581,2053
3156,2796,1866
3105,3256,1353
3654,2081,1120
123,4833,2561
1988,601,602
66,2235,2217
3216,1252,2339
658,3553,4842
719,1815,5095
3295,938,5303
1983,5273,5565
524,494,4055
186,4170,2704
99,3492,4788
475,870,2831
1079,2896,2033
1503,4115,737
1155,2072,624
627,1206,2169
1631,2979,699
2195,199,4170
4683,3926,1626
3254,2436,760
251,956,1356
2768,1706,2770
3313,1379,2885
5787,6659,700
4420,591,21
3474,3503,2996
2516,768,2345
4351,5721,6014
4618,2960,3837
499,1364,2909
1321,2161,5069
1589,5562,2900
4757,167,4761
594,3036,3022
2441,611,3474
316,246,1323
3458,4128,1885
769,3342,2928
1593,28,2995
2562,2657,1509
3681,2018,1624
546,3941,3110
2966,1259,3496
3662,1331,160
2294,909,2316
4307,2486,2437
3397,4630,3837
282,1068,2786
5293,4943,755
660,2276,527
851,2499,1148
5313,1474,4783
1352,2132,3801
67,1504,4296
188,4267,3326
5735,5324,3781
1179,2179,2729
771,4124,1143
1379,3017,5073
3154,60,4376
948,4313,4628
1104,668,4676
426,2000,4026
5046,145,2301
3258,3496,1146
3660,2854,106
3051,1062,1249
3156,80,3980
2496,4013,893
1766,693,1188
591,4205,3866
3132,2271,784
1791,2539,4776
2745,648,2970
4214,2858,4440
202,2709,203
3974,630,3976
2510,1434,1433
1803,4563,3361
821,1087,974
3447,3829,4287
3080,5364,3536
4112,1593,153
1610,1668,605
5191,5186,5540
2409,2458,4026
2331,4244,1826
5298,1873,2280
5858,6681,5556
4174,1870,723
3141,2546,1515
2094,4676,1318
1019,3620,3564
3104,852,3956
36,1199,381
1757,2379,3526
4917,2934,2180
3353,4353,1744
1106,2215,1108
1511,1216,830
2157,4933,3628
403,4356,1315
2835,2061,3956
1375,1098,2476
1065,2358,4323
4392,4229,3091
4124,3206,141
825,5165,3040
628,3337,826
764,100,531
228,365,1799
2732,4631,4403
740,1745,3496
3646,1785,1393
2934,2791,4086
1427,3730,4386
1377,2984,2124
427,2068,5092
2680,238,2881
3873,1942,183
1683,350,681
2590,4661,3479
4550,1076,5065
875,353,612
1259,3466,1328
5225,2189,1497
3372,3007,4793
1193,590,718
4918,2180,4372
2388,2467,3799
866,821,974
3464,75,960
216,4779,1133
2125,2530,1943
3379,4000,3597
902,1930,3506
1311,78,3591
4979,207,4967
3165,2219,1650
73,2854,2639
616,2244,2020
4607,135,3924
3333,1919,1388
596,3338,4938
2675,5330,610
3087,2908,2807
5007,2249,34
3878,295,4063
3553,259,621
2233,5295,3416
177,1323,804
3346,3058,4844
120,1034,2024
1661,3110,3941
263,803,4159
201,3940,3374
1219,405,1838
1794,797,2742
2508,3666,1057
398,167,593
1150,24,657
2544,65,2713
2221,279,4178
3408,49,3380
2600,561,2080
2656,47,4043
3076,284,430
3955,1140,4533
324,3256,3105
942,2461,5194
1809,1943,3569
3339,3555,2512
861,1869,2535
4852,2885,1379
5463,3744,3292
61,4226,81
256,129,3134
2834,418,4693
3022,3036,3804
4215,4921,5982
1364,2780,2909
2176,1659,3908
144,136,3825
1540,2851,3753
2183,1043,1462
1471,1909,3034
908,2625,219
4234,5213,2599
3943,750,2897
2568,491,1739
3564,3609,2189
2790,1871,2306
2487,1626,3926
3955,1154,4365
2896,1789,1162
89,90,3040
4118,4769,5540
5739,3279,6000
199,198,2704
1416,3977,3633
741,4699,2416
4182,1973,2261
477,2945,981
450,4484,509
3942,2731,3696
558,972,4641
3646,2176,3908
2120,784,2271
3524,4478,1086
1772,4939,4254
5336,868,828
5076,3442,5060
2126,3537,29
3397,2085,4630
4266,3265,1063
4778,2918,2077
4072,403,2052
4071,4456,2474
1823,5326,2586
57,100,50
1234,3251,3343
2657,2562,2312
4748,6930,3414
2877,2725,2856
1975,1621,993
2089,2333,2201
5564,3963,5755
3663,6027,5819
1149,1174,1010
381,1199,2155
895,3356,4134
3216,2339,2492
2004,2298,1642
1678,1556,950
2699,2368,2051
5378,2652,3467
2425,2822,767
536,742,3008
3805,3069,1634
1023,4201,1024
2831,1124,682
1867,2414,5293
2103,882,1773
608,1980,5118
1153,2547,2978
1181,1727,1714
5112,367,1357
2929,360,2948
2726,351,3019
2819,164,2441
468,382,3028
2290,3534,1745
1569,141,3206
1817,408,409
3908,1785,3646
4824,3365,4935
1298,3181,1527
1259,2966,3151
2194,4478,3233
4983,1103,2008
1166,1687,442
558,2580,747
1364,499,3952
2005,1344,3846
2781,3972,2084
3217,1775,2468
3130,617,2086
2723,1347,2506
2186,744,1868
6140,6269,5639
1631,699,3010
172,3256,3884
920,477,1109
1381,1859,2705
226,3793,3908
1629,5693,2933
2696,3165,1650
664,3032,4836
4720,4302,2274
2327,2798,4437
1983,5091,4643
1336,3600,3783
4421,2594,2864
992,2976,3370
2217,4116,578
3750,3375,3153
2154,512,747
67,1282,3277
3549,3411,4762
3447,4287,2890
5174,5842,4813
1080,222,1203
2140,303,2032
431,2759,2640
647,3227,2486
2120,783,784
2507,1656,2464
1815,719,428
4207,4873,4353
2105,3319,1358
3759,2036,1219
1422,1421,1389
3633,1526,3188
880,510,4112
867,2910,1014
3028,630,2721
3259,916,1695
108,4672,2960
2963,1886,1169
3750,2376,1308
4676,2555,3571
3216,3755,1252
429,892,1218
561,2513,2080
4001,1718,2975
1654,2880,4746
1057,3677,3438
4887,2828,1066
2103,1773,4777
2225,2023,2066
674,1940,2770
3558,1692,1459
3169,1485,2461
557,2546,2104
3070,2142,2020
4981,4204,68
1911,2357,2917
3613,1876,5279
2071,2942,235
3081,927,1577
1821,2107,1535
2827,1735,3805
3374,1851,2512
2210,2138,3335
2394,4206,2955
2510,4208,3465
4693,2318,818
89,3040,4186
610,2441,164
1901,272,283
1058,2046,3399
5883,4959,5591
5251,5195,4424
2624,1574,891
1449,2972,2535
3945,3742,1908
2543,3549,357
5283,6930,5760
2717,1276,3137
2836,2313,476
2851,1055,2956
3306,891,1574
2200,866,802
2985,4527,2556
1683,947,1701
2111,1765,774
287,3268,888
399,3419,1546
2906,5089,980
2929,3874,360
134,3450,1871
3130,4069,3734
2581,3210,1763
572,3042,435
3757,4989,2166
1752,493,1507
1308,4125,3545
2098,260,2590
1012,4766,5730
1924,3034,232
3633,239,1526
633,2252,371
3302,936,1067
3352,2078,4469
2787,5150,3698
1235,2300,2946
4267,188,597
1381,4041,1859
2530,2125,603
1688,1764,1342
729,1959,3892
2004,1031,558
3072,3096,3489
4330,3530,855
1210,1511,830
1872,1238,3518
3309,4701,3850
1710,4868,5314
1743,3316,4219
900,169,1170
3139,1035,2792
3901,3898,1163
4272,4201,1023
2909,1400,3828
443,1475,3567
291,2118,1177
2720,653,3694
4640,5744,5825
4221,4552,3236
1781,1221,2988
1010,2710,2373
2665,2132,3697
3553,2406,2632
4842,3365,4824
3882,733,3508
138,137,3912
3092,407,4545
775,1676,1400
5348,3169,3363
707,3765,2044
2438,995,4757
1986,3945,1908
3724,4695,1753
4075,4089,3890
968,2110,140
658,589,259
3380,1972,861
3030,3029,503
228,2285,1390
2378,1406,1691
19,2824,150
1653,5308,4268
3928,2971,4673
2621,4700,51
1448,5742,255
1367,3389,4862
5152,986,3825
1222,67,3277
3367,220,1849
1123,2365,2338
2302,2550,2719
4122,3563,3458
3059,2682,748
4589,3972,5706
3580,3906,2554
3808,4146,449
3691,334,931
4145,1702,3605
1676,1035,4018
485,565,910
971,1920,696
3689,969,2166
2081,4287,2354
4345,585,5756
3318,3291,2543
6881,842,3537
1735,3069,3805
1961,1763,1316
1599,2363,1780
724,2446,1236
1972,949,784
2090,556,2762
2833,2771,3679
2698,4091,5099
84,4304,726
1752,1296,3469
4445,3114,2180
2743,3126,2130
2797,3030,1266
2756,3019,351
3726,1841,715
1613,3372,23
2887,413,412
591,1819,4205
2055,4459,2346
905,2480,342
2109,1916,2876
270,1115,2753
1737,1043,2474
4939,1772,2773
1209,3012,2285
3286,2178,1671
1180,327,3288
3556,4628,4313
2681,238,2680
3089,1909,1522
4566,4328,4958
1020,4290,1678
899,2692,2693
3392,783,690
4145,3369,1529
4660,859,1630
1473,1433,1297
2619,3403,2823
654,1903,3214
3697,923,2766
2744,3347,286
572,2382,4563
3823,1685,2847
1295,415,1152
5831,5887,440
3829,2455,2354
2597,21,2732
3319,1202,5361
1731,2099,62
66,1680,2235
1678,3695,1556
33,187,1739
755,3812,4513
876,4258,31
2516,796,4186
234,2634,222
1618,3131,2445
4912,1151,2144
1180,3208,327
782,517,2788
2436,3254,383
2294,1346,2300
732,460,1996
1894,1143,1032
2829,563,1091
3239,464,465
4166,4200,921
3562,1929,422
4547,3593,2005
3548,3617,3735
954,1137,665
3140,711,2247
1434,2510,1018
1946,751,272
4492,4300,4677
3495,1889,1489
2947,4948,421
5335,1138,3500
582,2958,3138
1493,1031,553
1266,613,523
3184,4029,6354
977,1082,2082
5142,3972,4589
3975,4979,3390
3926,1432,3852
5183,2800,1396
3291,1270,3624
912,4256,94
1581,525,2858
99,4788,4346
4718,3253,2587
1822,1375,2476
3088,1238,2353
1618,514,2418
2123,1770,3133
4230,4180,864
681,4085,1490
4146,3808,2263
3562,2440,245
493,3469,992
2337,2957,5335
1370,3054,3970
1575,576,1468
665,1129,3189
57,2025,2901
1443,4932,4682
1110,971,1833
198,1147,3761
2452,1190,1755
4555,2527,2989
903,4523,515
990,3475,2937
4861,5035,5253
754,4052,486
3076,1985,284
288,1201,2458
1216,1449,2535
896,505,5350
4140,1537,1622
2581,3172,236
2810,1925,830
3033,2561,3243
821,3692,1087
3337,1426,2647
310,272,751
5130,1024,403
5834,5619,5572
2616,2859,293
3243,171,3033
3614,3798,3232
1379,5073,4852
1301,3674,2799
1377,788,3583
1115,2152,4034
445,2629,52
5179,1143,1894
1075,3670,2063
4582,4583,4584
3064,3545,3786
2925,3776,4542
2463,5063,3986
5556,6681,3809
637,276,1217
108,772,2362
899,1463,2692
1514,3129,2424
631,3899,2856
94,1655,3481
2163,2314,3772
3473,3242,2053
4249,2822,1590
1947,2176,3646
129,3541,4447
3556,1421,745
3871,3420,5508
2382,572,566
2985,1545,3199
2494,3491,3612
3318,823,2785
2967,4590,2282
1962,1654,1223
5596,1843,5249
5170,1519,121
262,1998,1408
451,1009,3044
1217,2006,3869
3353,1385,1304
274,1507,2664
1849,3734,547
574,575,41
4460,3364,4904
5213,4532,5009
1438,3060,1094
437,2053,3242
2824,4431,150
614,1549,4100
25,460,2192
3025,3803,3252
60,1429,4074
4428,2911,351
21,4405,4885
1914,3534,2382
2123,4239,3616
63,480,2996
936,2974,139
4508,4516,4001
2340,286,3347
4520,4519,4515
3336,1766,3386
1609,3767,4874
4987,1038,3997
866,2200,821
380,3910,3627
236,2071,235
240,1774,241
1258,3311,3310
41,575,734
4072,2230,3343
3566,2875,453
3076,1879,1985
2972,861,2535
614,4100,1080
4611,4081,1863
4299,4635,1260
1424,2988,1221
2008,3361,3016
1076,2310,5065
941,2772,336
5362,1320,3794
1507,274,2845
3142,5143,332
5159,2957,2337
4700,1765,2111
2080,3818,2600
3328,3934,2099
4637,1702,1658
290,673,3164
2150,2973,1059
2575,5201,349
871,2962,1814
3806,2959,3121
2574,3897,4903
965,1672,3187
1853,48,627
1553,850,3324
3253,3594,3077
5293,4513,1867
2128,2007,281
3788,2511,2523
4459,4493,4496
4425,5573,2993
3293,1781,1362
725,382,3249
3777,63,1156
4407,4406,2735
1941,907,3143
2593,417,4435
3749,2246,4258
5110,1322,3818
2657,2969,3243
1407,3747,942
3170,101,3292
5277,1647,520
3669,2751,2548
3929,1228,4652
1613,1055,2882
617,3130,220
512,2154,3704
3127,3710,1333
3823,5062,3980
134,1904,4410
3996,2945,1862
2082,389,3503
3774,4774,3294
623,1186,3078
2674,4644,774
1990,2975,1718
537,4340,2571
3840,1360,626
1752,2845,1296
2647,2928,3342
2317,1764,1473
705,2286,3740
4291,1174,4903
2694,2586,3781
1434,1297,1433
2749,1817,409
2385,2260,3720
