I,J,K
562,3940,3566
202,203,2101
1435,3226,3421
2730,2768,2770
1963,3128,2736
1614,1290,352
2300,2625,908
2015,2165,4017
3604,6177,2115
4149,4616,2187
3054,4621,1827
3967,3559,2742
601,682,1124
3599,4205,2372
342,2973,945
1287,926,1881
1818,900,2734
4335,5710,4336
2612,215,2571
1063,3265,3316
3641,3030,1181
2749,4496,2764
280,1829,1432
2682,3113,2497
558,4641,2004
3899,3429,2877
1746,1981,1453
2079,2811,2688
1007,34,1230
1373,3658,760
2552,2855,3349
603,1706,2768
3710,3127,3668
1453,814,3504
2033,1162,823
6131,6124,3678
1132,1622,1936
3510,4066,3572
2121,143,2348
1042,1725,95
3173,4523,903
188,3326,323
2468,1775,1598
200,3564,3620
2844,856,1410
4390,1416,2155
2044,1241,2857
2191,2884,5293
2642,582,581
5192,82,438
317,3135,2845
3624,1270,3718
266,1350,262
1640,2886,3294
5001,3325,1805
2117,3502,1149
1889,2131,1489
2527,722,753
2201,4099,5145
2811,3769,2688
1122,2390,473
799,2696,3606
133,1161,737
3038,2950,2386
4995,969,45
3381,2473,1409
1991,5232,1378
2891,3238,1771
2062,3447,2890
1414,3788,4370
1085,2695,521
3451,2000,426
2859,2160,1068
492,963,1703
978,807,3563
3349,606,3322
2229,1892,2744
2467,2540,3087
919,1566,466
297,2630,2148
2525,1193,502
116,3948,444
2926,3813,3086
1355,1699,2311
2530,5015,4835
6631,4303,6215
1185,3009,2412
2020,5060,3070
2269,729,26
215,2243,4864
3186,2943,1397
634,3666,2508
2323,2022,2940
1833,3843,1834
566,2559,785
3992,202,3725
2474,84,1890
1642,3427,2004
1997,3966,425
3287,69,2404
1567,3873,183
1436,1047,3267
350,1683,1423
295,3836,1601
3801,939,1352
3693,1790,2591
2250,4595,5292
5033,3893,5693
3876,3894,1165
2879,3583,788
791,1650,2219
2486,4307,647
5248,3011,4119
3419,2065,1546
3624,3549,3291
3801,2132,1949
2862,451,923
5089,2565,1583
3641,983,1496
1122,2386,3936
1045,3943,1526
1291,2393,4602
3700,4088,1974
2533,473,2390
610,1854,778
1606,106,2854
4097,3754,1153
2185,4252,1802
1687,2344,442
3023,1657,3928
1758,1854,164
1762,2550,1692
377,2334,2159
3668,1325,3710
859,2035,1011
3786,3974,2907
1891,2721,630
630,3786,1891
2721,1891,2907
3974,2721,2907
3978,3028,2721
