X,Y,Z
275.1678010257203,380.42762614875323,29.45085209017575
275.2855862285749,380.43061029932875,29.595444355112576
272.1192982620016,379.78540024120963,32.15636722224054
272.03251236813213,379.78321736565647,32.04982726564984
272.60217329155404,376.49174430496913,26.841982333987346
272.6129834098235,376.67751984857097,26.82934227907561
273.1923447004304,373.86225535053234,27.935842430581403
273.1166957430077,373.9915584790416,27.82464782275425
270.52117659224524,375.0408228203869,30.851581630359696
270.57689988642403,374.9455630882285,30.933490015357314
271.125916659649,374.3781841332339,31.688652197950894
273.8785385661805,373.13068266517587,28.882821897261664
271.04877469918523,374.42851387096397,31.586650342274616
273.83273075922693,373.1606154578789,28.82224550992592
273.93740648789543,373.0922675711176,28.96066179434854
271.45149647813525,374.2408419287576,32.10866746663105
274.27184419359963,372.9374012009176,29.39403002607537
271.36793226206044,374.26539326250037,32.00235964183341
274.265866577938,372.93918541380765,29.386421579502894
274.37927978089,372.90583525565216,29.530706436238482
271.62175272171834,374.21171951438413,32.322343064420785
274.54901521037453,372.87434637433637,29.744071386408486
271.53616886688394,374.22297008565835,32.21540662076522
274.4941874136256,372.8815328602738,29.675567360424417
274.610344066912,372.866342377834,29.82069326064221
271.70804107825967,374.20715384932737,32.429213108895205
274.61634007434236,372.8660147017214,29.82812090394105
274.7274524397076,372.8601460812735,29.96573456405148
274.3893542303802,372.9037032022588,29.543407210002023
271.2856831830384,374.29656045249413,31.896746835074865
274.0868408584,373.01283645525643,29.155729938801997
271.20494724081124,374.33415826902024,31.792098682587415
274.0446601708857,373.0325269061916,29.101049641337703
274.1542419166468,372.9813968155991,29.243100933239617
274.26152039041114,372.9408488458433,29.38083850606636
273.9615939776187,373.07877497044234,28.99232439495281
273.53663315040336,373.4152002563387,28.422150524743763
273.4447163501644,373.51593589315286,28.294918308151054
270.762854369119,374.69038678420486,31.198066938147527
270.8305989926638,374.61620514733056,31.29183101800256
273.7308841695852,373.2373237654403,28.686144502140507
273.6321076458847,373.3222675459772,28.552672836175567
270.9009370883774,374.54770934984657,31.387993817426434
270.97372832379864,374.48508384781815,31.486356804261113
273.35654628027356,373.6241676313745,28.171251770158875
273.27235938532704,373.73970972551604,28.051467949715175
270.63585935464266,374.8553111373245,31.01868308022315
270.6979056998034,374.7701298284139,31.106968240328612
272.7234682122452,375.0560030465229,27.191853630587936
272.6883778578114,375.2265104972224,27.12483666823563
