NO_OF_FRAMES	7320
NO_OF_CAMERAS	14
NO_OF_MARKERS	11
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 11:50:43.813	92047.82596720
DATA_INCLUDED	3D
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter3_mid3_tip1	catheter3_mid3_tip2	catheter3_mid3_tip3	catheter3_mid3_tip4	catheter3_mid3_tip5	catheter3_mid3_tip6	catheter3_mid3_tip7
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter3_mid3_tip1 X	catheter3_mid3_tip1 Y	catheter3_mid3_tip1 Z	catheter3_mid3_tip2 X	catheter3_mid3_tip2 Y	catheter3_mid3_tip2 Z	catheter3_mid3_tip3 X	catheter3_mid3_tip3 Y	catheter3_mid3_tip3 Z	catheter3_mid3_tip4 X	catheter3_mid3_tip4 Y	catheter3_mid3_tip4 Z	catheter3_mid3_tip5 X	catheter3_mid3_tip5 Y	catheter3_mid3_tip5 Z	catheter3_mid3_tip6 X	catheter3_mid3_tip6 Y	catheter3_mid3_tip6 Z	catheter3_mid3_tip7 X	catheter3_mid3_tip7 Y	catheter3_mid3_tip7 Z	
17	0.08000	417.634	334.858	220.998	390.101	393.611	177.491	450.158	324.770	133.803	387.697	300.494	186.720	-158.104	294.531	171.414	-180.949	346.558	55.317	-172.411	297.118	174.900	-176.949	300.586	226.973	-178.839	263.690	209.196	-147.677	254.845	259.090	-197.708	377.947	-6.537
18	0.08500	417.633	334.852	221.001	390.109	393.605	177.512	450.159	324.771	133.810	387.706	300.484	186.730	-158.338	294.877	171.048	-180.834	347.389	55.100	-172.671	297.393	174.527	-177.508	300.584	226.567	-179.292	263.676	208.482	-148.475	254.557	258.516	-197.545	378.915	-6.789
19	0.09000	417.637	334.840	220.994	390.103	393.595	177.507	450.162	324.760	133.815	387.708	300.486	186.729	-158.512	295.213	170.774	-180.642	348.280	54.828	-172.868	297.741	174.082	-178.002	300.582	226.146	-179.723	263.891	207.786	-149.183	254.374	257.980	-197.424	379.870	-6.918
20	0.09500	417.642	334.840	221.008	390.097	393.592	177.503	450.162	324.750	133.805	387.719	300.490	186.737	-158.646	295.583	170.522	-180.458	349.073	54.736	-173.020	298.026	173.775	-178.381	300.646	225.814	-180.016	264.057	207.277	-149.742	254.261	257.528	-197.219	380.726	-6.976
21	0.10000	417.641	334.836	221.007	390.109	393.590	177.505	450.160	324.751	133.820	387.720	300.487	186.731	-158.722	296.032	170.215	-180.261	349.799	54.629	-173.108	298.361	173.539	-178.670	300.788	225.503	-180.205	264.263	206.822	-150.096	254.239	257.142	-197.039	381.614	-7.021
22	0.10500	417.645	334.828	221.006	390.117	393.581	177.520	450.163	324.742	133.816	387.720	300.484	186.727	-158.706	296.397	170.039	-180.053	350.482	54.564	-173.115	298.763	173.296	-178.800	301.002	225.282	-180.289	264.531	206.535	-150.301	254.340	256.849	-196.838	382.371	-7.115
23	0.11000	417.637	334.824	221.009	390.103	393.581	177.496	450.158	324.730	133.813	387.721	300.478	186.722	-158.548	296.845	169.866	-179.821	351.154	54.475	-172.998	299.219	173.103	-178.796	301.323	225.157	-180.227	264.894	206.287	-150.352	254.585	256.665	-196.600	383.099	-7.151
24	0.11500	417.643	334.830	221.002	390.112	393.573	177.511	450.149	324.729	133.823	387.725	300.481	186.733	-158.368	297.334	169.814	-179.530	351.749	54.420	-172.829	299.666	173.000	-178.673	301.701	225.083	-180.060	265.283	206.101	-150.195	254.967	256.526	-196.279	383.695	-7.179
25	0.12000	417.640	334.830	221.007	390.113	393.580	177.517	450.154	324.743	133.820	387.718	300.472	186.728	-158.110	297.856	169.809	-179.285	352.309	54.433	-172.588	300.088	173.007	-178.396	302.177	225.077	-179.731	265.691	206.066	-149.844	255.499	256.543	-196.061	384.321	-7.110
26	0.12500	417.640	334.822	221.006	390.108	393.582	177.512	450.151	324.732	133.826	387.720	300.473	186.736	-157.804	298.346	169.855	-179.023	352.797	54.530	-172.254	300.629	173.097	-177.989	302.729	225.127	-179.315	266.332	206.229	-149.347	256.174	256.482	-195.767	384.825	-7.088
27	0.13000	417.642	334.827	221.006	390.113	393.582	177.517	450.162	324.730	133.816	387.728	300.467	186.737	-157.376	298.919	169.946	-178.745	353.191	54.592	-171.846	301.143	173.227	-177.479	303.370	225.245	-178.763	266.809	206.380	-148.673	256.898	256.762	-195.412	385.297	-7.001
