NO_OF_FRAMES	6378
NO_OF_CAMERAS	14
NO_OF_MARKERS	8
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 10:36:43.083	87607.09578570
DATA_INCLUDED	3D
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter_tip1	catheter_tip2	catheter_tip3	catheter_tip4
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Virtual	Measured
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter_tip1 X	catheter_tip1 Y	catheter_tip1 Z	catheter_tip2 X	catheter_tip2 Y	catheter_tip2 Z	catheter_tip3 X	catheter_tip3 Y	catheter_tip3 Z	catheter_tip4 X	catheter_tip4 Y	catheter_tip4 Z	
26	0.12500	338.597	353.348	182.613	302.107	413.426	148.491	351.607	347.213	90.439	301.812	320.052	154.377	303.304	84.554	-20.437	356.271	72.261	3.580	60.983	67.411	-21.801	305.278	42.796	-19.780
27	0.13000	338.602	353.337	182.615	302.101	413.423	148.505	351.605	347.223	90.442	301.802	320.030	154.375	303.285	84.550	-20.438	356.252	72.268	3.587	60.971	67.374	-21.852	305.272	42.817	-19.791
28	0.13500	338.594	353.332	182.614	302.099	413.405	148.495	351.610	347.213	90.448	301.816	320.013	154.368	303.314	84.536	-20.437	356.263	72.254	3.581	60.989	67.375	-21.866	305.285	42.802	-19.801
29	0.14000	338.599	353.315	182.605	302.103	413.403	148.500	351.604	347.204	90.438	301.803	320.013	154.361	303.296	84.565	-20.424	356.259	72.257	3.580	60.971	67.441	-21.751	305.266	42.796	-19.772
30	0.14500	338.603	353.317	182.593	302.106	413.404	148.499	351.601	347.198	90.436	301.821	320.000	154.361	303.298	84.546	-20.440	356.257	72.260	3.589	60.979	67.400	-21.900	305.274	42.819	-19.806
31	0.15000	338.605	353.320	182.596	302.111	413.389	148.500	351.605	347.202	90.439	301.808	320.001	154.352	303.306	84.542	-20.441	356.258	72.254	3.583	60.974	67.478	-21.850	305.254	42.804	-19.789
32	0.15500	338.610	353.339	182.596	302.101	413.400	148.502	351.604	347.201	90.432	301.821	320.018	154.342	303.296	84.554	-20.442	356.255	72.268	3.588	60.975	67.406	-21.895	305.268	42.817	-19.803
33	0.16000	338.616	353.326	182.592	302.113	413.398	148.497	351.613	347.217	90.427	301.816	320.020	154.349	303.280	84.562	-20.434	356.240	72.264	3.578	60.912	67.642	-21.761	305.120	42.745	-19.809
34	0.16500	338.609	353.331	182.587	302.105	413.418	148.489	351.608	347.223	90.432	301.824	320.032	154.355	303.284	84.542	-20.452	356.248	72.265	3.590	60.917	67.721	-21.799	305.117	42.754	-19.770
35	0.17000	338.619	353.349	182.592	302.106	413.417	148.480	351.609	347.224	90.420	301.825	320.039	154.357	303.290	84.547	-20.438	356.247	72.264	3.579	60.962	67.445	-21.807	305.251	42.810	-19.780
36	0.17500	338.612	353.369	182.590	302.104	413.442	148.477	351.608	347.227	90.434	301.814	320.054	154.362	303.289	84.543	-20.449	356.253	72.260	3.581	60.970	67.411	-21.899	305.260	42.821	-19.816
37	0.18000	338.615	353.390	182.592	302.110	413.444	148.470	351.611	347.236	90.434	301.812	320.062	154.359	303.295	84.549	-20.436	356.254	72.265	3.582	60.971	67.408	-21.862	305.262	42.825	-19.812
38	0.18500	338.607	353.389	182.599	302.097	413.458	148.481	351.605	347.237	90.440	301.807	320.078	154.373	303.307	84.538	-20.437	356.257	72.253	3.578	60.978	67.417	-21.826	305.269	42.798	-19.787
39	0.19000	338.592	353.406	182.614	302.091	413.456	148.481	351.603	347.247	90.439	301.800	320.081	154.371	303.293	84.566	-20.438	356.259	72.254	3.590	60.974	67.449	-21.933	305.260	42.833	-19.841
40	0.19500	338.593	353.403	182.608	302.091	413.452	148.485	351.592	347.246	90.447	301.794	320.082	154.364	303.290	84.583	-20.441	356.255	72.269	3.577	60.971	67.443	-21.814	305.271	42.804	-19.782
41	0.20000	338.582	353.405	182.631	302.090	413.480	148.477	351.597	347.248	90.449	301.797	320.084	154.377	303.314	84.541	-20.442	356.255	72.267	3.580	60.982	67.440	-21.880	305.273	42.829	-19.797
42	0.20500	338.590	353.404	182.623	302.089	413.458	148.483	351.597	347.251	90.453	301.795	320.089	154.370	303.292	84.586	-20.428	356.264	72.262	3.579	60.929	67.699	-21.689	305.141	42.744	-19.782
43	0.21000	338.586	353.410	182.616	302.098	413.467	148.485	351.597	347.251	90.458	301.797	320.087	154.372	303.310	84.567	-20.439	356.268	72.260	3.584	60.978	67.524	-21.859	305.251	42.816	-19.806
44	0.21500	338.596	353.418	182.622	302.096	413.469	148.488	351.607	347.251	90.456	301.799	320.088	154.378	303.301	84.573	-20.441	356.261	72.264	3.579	60.979	67.460	-21.846	305.272	42.815	-19.796
45	0.22000	338.602	353.414	182.617	302.094	413.466	148.482	351.603	347.257	90.448	301.798	320.095	154.356	303.312	84.560	-20.424	356.268	72.261	3.584	60.981	67.445	-21.780	305.267	42.793	-19.778
46	0.22500	338.605	353.412	182.618	302.098	413.470	148.466	351.613	347.250	90.447	301.809	320.090	154.372	303.301	84.566	-20.443	356.271	72.271	3.573	60.982	67.413	-21.807	305.277	42.805	-19.790
47	0.23000	338.605	353.397	182.609	302.102	413.452	148.479	351.611	347.251	90.445	301.819	320.081	154.364	303.321	84.547	-20.437	356.261	72.272	3.590	60.985	67.425	-21.948	305.261	42.827	-19.834
48	0.23500	338.608	353.381	182.602	302.099	413.461	148.480	351.617	347.246	90.444	301.825	320.079	154.363	303.319	84.539	-20.435	356.272	72.264	3.579	60.940	67.724	-21.739	305.135	42.762	-19.786
49	0.24000	338.612	353.388	182.610	302.111	413.444	148.482	351.613	347.240	90.433	301.825	320.070	154.357	303.291	84.575	-20.442	356.265	72.271	3.570	60.981	67.371	-21.794	305.292	42.810	-19.789
50	0.24500	338.626	353.373	182.592	302.118	413.427	148.491	351.618	347.228	90.436	301.829	320.063	154.353	303.311	84.548	-20.456	356.263	72.269	3.580	60.986	67.399	-21.966	305.269	42.816	-19.837
51	0.25000	338.618	353.368	182.595	302.122	413.429	148.484	351.626	347.227	90.443	301.825	320.047	154.347	303.306	84.556	-20.447	356.273	72.256	3.577	60.991	67.415	-21.885	305.289	42.825	-19.819
52	0.25500	338.633	353.372	182.590	302.126	413.427	148.472	351.616	347.222	90.422	301.827	320.050	154.357	303.309	84.569	-20.437	356.275	72.270	3.573	60.983	67.458	-21.835	305.267	42.832	-19.826
53	0.26000	338.634	353.368	182.593	302.127	413.427	148.483	351.622	347.217	90.425	301.840	320.043	154.344	303.295	84.570	-20.451	356.265	72.263	3.578	60.977	67.475	-21.837	305.272	42.813	-19.783
54	0.26500	338.629	353.351	182.579	302.132	413.431	148.482	351.619	347.220	90.419	301.843	320.043	154.345	303.308	84.561	-20.437	356.267	72.261	3.577	60.985	67.452	-21.840	305.279	42.830	-19.804
55	0.27000	338.632	353.350	182.584	302.127	413.420	148.475	351.623	347.220	90.415	301.839	320.038	154.348	303.300	84.556	-20.433	356.265	72.264	3.575	60.979	67.388	-21.822	305.273	42.816	-19.814
56	0.27500	338.636	353.358	182.579	302.129	413.419	148.472	351.617	347.217	90.411	301.842	320.049	154.349	303.308	84.547	-20.424	356.262	72.260	3.586	60.982	67.367	-21.849	305.274	42.803	-19.811
57	0.28000	338.634	353.354	182.580	302.125	413.422	148.480	351.622	347.224	90.425	301.837	320.054	154.348	303.327	84.534	-20.445	356.262	72.252	3.586	60.938	67.793	-21.821	305.120	42.752	-19.788
58	0.28500	338.634	353.357	182.590	302.128	413.405	148.484	351.616	347.223	90.420	301.831	320.040	154.335	303.298	84.550	-20.446	356.264	72.252	3.577	60.988	67.351	-21.866	305.298	42.802	-19.799
59	0.29000	338.620	353.360	182.586	302.131	413.421	148.487	351.614	347.221	90.420	301.819	320.049	154.354	303.315	84.541	-20.435	356.259	72.250	3.584	60.982	67.468	-21.870	305.267	42.816	-19.800
60	0.29500	338.621	353.344	182.590	302.117	413.417	148.479	351.620	347.217	90.427	301.824	320.042	154.349	303.292	84.557	-20.430	356.262	72.250	3.579	60.980	67.375	-21.799	305.291	42.810	-19.793
61	0.30000	338.656	353.322	182.602	302.115	413.413	148.489	351.611	347.212	90.430	301.817	320.039	154.353	303.301	84.539	-20.448	356.268	72.256	3.582	60.982	67.411	-21.876	305.273	42.810	-19.803
62	0.30500	338.605	353.347	182.599	302.097	413.419	148.489	351.613	347.214	90.432	301.809	320.039	154.348	303.296	84.552	-20.430	356.259	72.252	3.586	60.978	67.393	-21.829	305.279	42.805	-19.792
63	0.31000	338.604	353.338	182.606	302.096	413.410	148.504	351.598	347.217	90.429	301.805	320.027	154.355	303.304	84.531	-20.455	356.254	72.250	3.579	60.982	67.409	-21.933	305.280	42.820	-19.811
64	0.31500	338.602	353.346	182.598	302.100	413.415	148.496	351.595	347.219	90.439	301.807	320.034	154.365	303.318	84.506	-20.469	356.242	72.263	3.579	60.981	67.421	-22.015	305.264	42.824	-19.814
65	0.32000	338.586	353.342	182.611	302.092	413.417	148.500	351.601	347.206	90.443	301.803	320.040	154.363	303.293	84.564	-20.429	356.259	72.262	3.580	60.919	67.725	-21.659	305.119	42.729	-19.757
66	0.32500	338.586	353.348	182.621	302.096	413.404	148.504	351.595	347.211	90.444	301.787	320.029	154.366	303.306	84.534	-20.462	356.260	72.252	3.579	60.989	67.363	-21.957	305.290	42.801	-19.813
67	0.33000	338.581	353.340	182.606	302.088	413.401	148.512	351.594	347.218	90.448	301.798	320.036	154.350	303.288	84.557	-20.443	356.256	72.269	3.575	60.923	67.649	-21.728	305.132	42.738	-19.781
68	0.33500	338.583	353.344	182.595	302.083	413.422	148.503	351.592	347.216	90.447	301.797	320.037	154.359	303.309	84.511	-20.480	356.242	72.258	3.577	60.981	67.407	-22.041	305.272	42.817	-19.815
69	0.34000	338.588	353.344	182.607	302.094	413.410	148.503	351.596	347.219	90.441	301.799	320.033	154.362	303.305	84.538	-20.449	356.254	72.255	3.584	60.978	67.448	-21.936	305.265	42.826	-19.816
