NO_OF_FRAMES	6378
NO_OF_CAMERAS	14
NO_OF_MARKERS	8
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 10:36:43.083	87607.09578570
DATA_INCLUDED	3D
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter_tip1	catheter_tip2	catheter_tip3	catheter_tip4
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Virtual	Measured
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter_tip1 X	catheter_tip1 Y	catheter_tip1 Z	catheter_tip2 X	catheter_tip2 Y	catheter_tip2 Z	catheter_tip3 X	catheter_tip3 Y	catheter_tip3 Z	catheter_tip4 X	catheter_tip4 Y	catheter_tip4 Z	
1134	5.66500	338.612	353.257	182.584	302.173	413.362	148.456	351.701	347.192	90.694	301.877	319.922	154.403	58.657	82.670	411.357	45.146	55.826	463.464	105.751	281.398	280.391	22.732	100.047	423.540
1135	5.67000	338.601	353.255	182.600	302.162	413.347	148.460	351.620	347.070	90.539	301.872	320.035	154.495	58.491	82.807	410.784	44.744	56.049	462.898	106.561	281.306	279.851	22.572	100.327	422.943
1136	5.67500	338.606	353.241	182.601	302.153	413.354	148.468	351.607	347.072	90.546	301.863	320.069	154.506	58.274	82.930	410.266	44.380	56.282	462.388	107.177	281.127	279.174	22.393	100.605	422.370
1137	5.68000	338.602	353.245	182.604	302.151	413.338	148.480	351.611	347.076	90.555	301.859	320.073	154.529	58.028	83.206	409.708	43.967	56.507	461.941	108.261	281.067	278.677	22.254	101.106	421.684
1138	5.68500	338.593	353.247	182.598	302.145	413.341	148.475	351.611	347.074	90.560	301.862	320.042	154.505	57.767	83.372	409.286	43.427	56.897	461.435	109.091	280.863	278.094	22.044	101.376	421.211
1139	5.69000	338.594	353.240	182.601	302.135	413.426	148.500	351.617	347.065	90.555	301.857	320.040	154.489	57.517	83.662	408.793	42.966	57.248	460.903	109.811	281.000	277.739	21.803	101.824	420.665
1140	5.69500	338.611	353.240	182.604	302.156	413.342	148.479	351.616	347.064	90.556	301.832	320.044	154.486	57.261	83.920	408.358	42.481	57.652	460.548	110.780	280.691	276.994	21.629	102.262	420.126
1141	5.70000	338.604	353.243	182.604	302.158	413.345	148.467	351.692	347.184	90.708	301.837	320.061	154.480	57.005	84.218	407.926	42.095	58.069	460.123	111.302	280.631	276.328	21.425	102.695	419.596
1142	5.70500	338.618	353.233	182.594	302.139	413.416	148.497	351.694	347.185	90.696	301.829	320.061	154.467	56.759	84.466	407.515	41.698	58.433	459.809	112.383	280.263	275.520	21.244	103.284	418.984
1143	5.71000	338.611	353.249	182.594	302.180	413.336	148.468	351.694	347.179	90.694	301.836	320.053	154.470	56.538	84.837	407.112	41.176	58.966	459.380	113.175	280.289	275.100	21.076	103.681	418.569
1144	5.71500	338.623	353.238	182.595	302.166	413.332	148.464	351.692	347.179	90.689	301.840	320.049	154.468	56.287	85.133	406.727	40.770	59.402	459.012	113.849	280.161	274.500	20.914	104.110	418.135
1145	5.72000	338.611	353.234	182.597	302.168	413.330	148.479	351.697	347.179	90.694	301.839	320.015	154.447	56.085	85.495	406.241	40.380	59.883	458.589	114.664	280.112	273.915	20.787	104.633	417.689
1146	5.72500	338.611	353.243	182.596	302.127	413.418	148.500	351.697	347.183	90.697	301.833	320.025	154.445	55.877	85.860	405.801	40.010	60.346	458.203	115.628	280.052	273.374	20.640	105.278	417.212
1147	5.73000	338.621	353.231	182.592	302.169	413.333	148.476	351.698	347.172	90.701	301.836	320.016	154.444	55.680	86.204	405.389	39.723	60.840	457.808	116.404	279.912	272.706	20.616	105.766	416.816
1148	5.73500	338.612	353.226	182.596	302.133	413.421	148.503	351.691	347.179	90.708	301.842	319.986	154.440	55.506	86.529	404.932	39.532	61.316	457.402	117.058	279.755	271.886	20.543	106.375	416.382
1149	5.74000	338.611	353.233	182.602	302.130	413.420	148.499	351.697	347.186	90.704	301.849	319.979	154.442	55.386	86.898	404.446	39.376	61.732	456.973	117.718	279.851	271.403	20.557	106.924	416.026
1150	5.74500	338.609	353.231	182.609	302.136	413.411	148.509	351.693	347.179	90.707	301.847	319.979	154.452	55.294	87.239	403.903	39.314	62.169	456.477	118.349	279.803	270.634	20.639	107.464	415.581
1151	5.75000	338.600	353.228	182.604	302.132	413.400	148.510	351.681	347.177	90.708	301.849	319.961	154.451	55.267	87.614	403.324	39.352	62.565	455.930	118.761	280.069	270.126	20.755	107.991	415.238
1152	5.75500	338.594	353.227	182.611	302.135	413.408	148.510	351.684	347.179	90.711	301.843	319.968	154.453	55.251	87.878	402.774	39.451	62.934	455.384	119.415	279.986	269.316	20.921	108.548	414.813
1153	5.76000	338.593	353.222	182.621	302.130	413.413	148.514	351.683	347.188	90.714	301.846	319.959	154.451	55.352	88.263	402.107	39.623	63.254	454.844	119.774	280.287	268.770	21.171	108.988	414.398
1154	5.76500	338.595	353.220	182.604	302.132	413.413	148.510	351.683	347.176	90.717	301.845	319.971	154.460	55.479	88.598	401.520	39.871	63.600	454.203	120.220	280.566	268.179	21.440	109.472	413.897
1155	5.77000	338.595	353.230	182.624	302.126	413.418	148.518	351.689	347.180	90.715	301.829	319.975	154.454	55.674	89.010	400.777	40.213	63.892	453.493	120.397	281.161	267.737	21.760	109.927	413.409
1156	5.77500	338.605	353.228	182.609	302.124	413.423	148.497	351.683	347.188	90.721	301.832	319.990	154.451	55.935	89.339	400.072	40.571	64.206	452.899	120.653	281.374	266.939	22.120	110.291	412.886
1157	5.78000	338.596	353.251	182.612	302.119	413.420	148.508	351.688	347.185	90.716	301.827	319.987	154.446	56.232	89.641	399.463	41.005	64.510	452.286	121.105	281.607	266.232	22.502	110.772	412.345
1158	5.78500	338.601	353.256	182.611	302.130	413.434	148.509	351.684	347.190	90.711	301.833	319.986	154.458	56.602	90.057	398.750	41.449	64.832	451.607	121.371	282.264	266.010	23.082	110.977	412.098
1159	5.79000	338.601	353.244	182.612	302.123	413.435	148.517	351.681	347.186	90.707	301.816	319.999	154.441	56.996	90.343	398.162	41.945	65.185	450.921	121.308	282.563	264.956	23.266	111.455	411.146
1160	5.79500	338.598	353.260	182.608	302.130	413.433	148.514	351.681	347.188	90.716	301.814	320.001	154.451	57.402	90.700	397.571	42.465	65.457	450.519	121.943	282.657	264.236	23.871	111.831	410.683
1161	5.80000	338.593	353.252	182.622	302.117	413.428	148.492	351.678	347.183	90.711	301.808	320.014	154.457	57.827	91.124	396.879	42.793	65.971	449.802	121.536	283.275	263.417	24.020	112.091	409.917
1162	5.80500	338.587	353.256	182.613	302.118	413.430	148.507	351.681	347.201	90.711	301.813	319.994	154.444	58.240	91.520	396.398	43.200	66.369	449.333	122.068	283.465	262.627	24.405	112.534	409.127
1163	5.81000	338.589	353.250	182.611	302.113	413.428	148.498	351.679	347.190	90.713	301.820	319.993	154.446	58.615	91.955	395.846	43.518	66.881	448.831	122.406	283.700	261.777	24.712	112.973	408.466
1164	5.81500	338.589	353.231	182.610	302.124	413.424	148.498	351.673	347.182	90.701	301.814	319.986	154.432	58.931	92.447	395.306	43.733	67.543	448.158	122.520	284.171	261.074	24.984	113.288	407.879
1165	5.82000	338.591	353.241	182.612	302.120	413.423	148.505	351.675	347.187	90.708	301.813	319.981	154.438	59.242	92.938	394.828	43.895	68.181	447.717	123.102	284.345	260.258	25.192	113.862	407.261
1166	5.82500	338.585	353.233	182.607	302.123	413.410	148.505	351.679	347.173	90.711	301.810	319.970	154.426	59.437	93.478	394.289	43.948	68.872	447.242	123.766	284.390	259.288	25.428	114.388	406.584
1167	5.83000	338.589	353.227	182.613	302.129	413.406	148.496	351.676	347.175	90.704	301.821	319.948	154.427	59.641	93.941	393.831	44.083	69.473	446.912	124.711	284.206	258.233	25.636	115.144	405.918
1168	5.83500	338.598	353.227	182.602	302.129	413.408	148.503	351.681	347.154	90.697	301.817	319.952	154.432	59.748	94.567	393.320	44.033	70.293	446.397	125.107	284.536	257.505	25.760	115.707	405.473
1169	5.84000	338.605	353.222	182.604	302.127	413.394	148.508	351.685	347.179	90.701	301.832	319.958	154.437	59.825	95.138	392.837	44.013	71.014	445.914	125.887	284.702	256.763	25.890	116.446	404.941
1170	5.84500	338.610	353.226	182.591	302.151	413.409	148.495	351.686	347.182	90.691	301.838	319.953	154.417	59.863	95.695	392.374	43.996	71.705	445.452	126.891	284.853	256.322	26.258	117.002	404.792
1171	5.85000	338.624	353.223	182.591	302.144	413.415	148.494	351.703	347.167	90.686	301.840	319.964	154.415	59.849	96.279	391.771	44.033	72.358	445.020	127.272	284.869	255.065	26.227	117.909	403.964
1172	5.85500	338.625	353.229	182.582	302.143	413.424	148.480	351.698	347.174	90.674	301.855	319.951	154.411	59.829	96.809	391.277	44.157	72.903	444.658	128.284	284.907	254.461	26.565	118.742	403.769
1173	5.86000	338.630	353.227	182.584	302.156	413.413	148.496	351.697	347.162	90.675	301.851	319.944	154.400	59.814	97.340	390.749	44.192	73.581	444.043	128.705	285.334	254.010	26.760	119.351	403.635
1174	5.86500	338.635	353.236	182.578	302.153	413.419	148.483	351.699	347.180	90.685	301.879	319.893	154.395	59.743	97.866	390.085	44.387	74.016	443.640	129.324	285.328	253.013	26.989	120.267	403.146
1175	5.87000	338.625	353.243	182.595	302.157	413.416	148.481	351.703	347.185	90.684	301.873	319.902	154.400	59.712	98.396	389.456	44.528	74.616	442.913	129.347	285.993	252.619	27.220	120.793	403.065
1176	5.87500	338.623	353.247	182.600	302.140	413.432	148.493	351.704	347.185	90.687	301.877	319.888	154.392	59.667	98.837	388.902	44.754	75.053	442.406	130.000	286.052	251.835	27.523	121.571	402.726
1177	5.88000	338.619	353.230	182.603	302.152	413.425	148.495	351.702	347.169	90.697	301.876	319.886	154.407	59.670	99.387	388.162	45.072	75.408	441.884	130.408	286.385	251.055	27.811	122.463	402.253
1178	5.88500	338.614	353.234	182.609	302.138	413.417	148.498	351.697	347.178	90.694	301.870	319.881	154.406	59.594	99.898	387.533	45.294	75.876	441.146	130.423	287.072	250.730	28.145	122.942	402.169
1179	5.89000	338.607	353.230	182.607	302.134	413.421	148.507	351.694	347.181	90.698	301.868	319.884	154.406	59.759	100.253	386.908	45.561	76.284	440.595	131.051	287.158	249.978	28.470	123.564	401.801
1180	5.89500	338.612	353.227	182.600	302.140	413.411	148.505	351.696	347.177	90.700	301.874	319.872	154.415	59.759	100.787	386.193	45.887	76.664	439.938	131.246	287.658	249.357	28.842	124.205	401.436
1181	5.90000	338.608	353.228	182.603	302.132	413.415	148.509	351.699	347.176	90.704	301.871	319.867	154.397	59.897	101.260	385.562	46.194	77.037	439.358	131.621	288.119	248.869	29.195	124.795	401.068
1182	5.90500	338.611	353.227	182.601	302.137	413.410	148.499	351.686	347.171	90.699	301.825	319.922	154.380	60.047	101.704	384.949	46.530	77.446	438.727	131.926	288.543	248.287	29.557	125.349	400.686
1183	5.91000	338.598	353.225	182.605	302.136	413.416	148.502	351.695	347.173	90.709	301.815	319.933	154.377	60.247	102.130	384.326	46.877	77.845	438.090	132.368	288.884	247.630	29.932	125.916	400.193
1184	5.91500	338.607	353.224	182.608	302.140	413.407	148.504	351.697	347.160	90.705	301.814	319.939	154.384	60.474	102.603	383.787	47.229	78.259	437.565	132.543	289.392	247.126	30.275	126.403	399.783
1185	5.92000	338.606	353.222	182.609	302.142	413.405	148.507	351.693	347.166	90.693	301.819	319.927	154.386	60.766	103.046	383.184	47.564	78.722	437.033	132.865	289.733	246.447	30.624	126.896	399.325
1186	5.92500	338.615	353.220	182.606	302.132	413.406	148.489	351.697	347.170	90.698	301.822	319.916	154.373	61.016	103.513	382.682	47.891	79.214	436.508	133.297	290.044	245.784	30.986	127.431	398.826
1187	5.93000	338.609	353.213	182.602	302.141	413.404	148.505	351.701	347.166	90.696	301.866	319.872	154.389	61.349	103.981	382.229	48.263	79.612	436.165	133.702	290.318	245.092	31.285	128.038	398.186
1188	5.93500	338.612	353.215	182.598	302.145	413.399	148.509	351.695	347.164	90.693	301.863	319.867	154.403	61.675	104.441	381.836	48.529	80.156	435.832	133.970	290.581	244.424	31.543	128.481	397.700
1189	5.94000	338.598	353.220	182.608	302.128	413.407	148.507	351.691	347.168	90.696	301.865	319.858	154.413	62.094	104.769	381.458	48.733	80.846	435.401	134.570	290.597	243.715	31.867	128.802	397.412
1190	5.94500	338.599	353.206	182.599	302.129	413.394	148.504	351.686	347.158	90.687	301.863	319.849	154.401	62.308	105.326	381.114	48.987	81.436	435.080	134.571	290.998	243.048	32.083	129.280	396.928
1191	5.95000	338.592	353.201	182.607	302.121	413.386	148.516	351.681	347.151	90.697	301.845	319.843	154.397	62.626	105.809	380.731	49.191	82.057	434.822	135.036	291.062	242.243	32.341	129.780	396.444
1192	5.95500	338.590	353.197	182.615	302.120	413.380	148.521	351.678	347.145	90.704	301.838	319.854	154.401	62.877	106.262	380.454	49.373	82.663	434.521	135.565	291.159	241.569	32.573	130.314	395.992
1193	5.96000	338.581	353.184	182.611	302.106	413.380	148.532	351.666	347.151	90.696	301.829	319.834	154.408	63.093	106.788	380.177	49.532	83.279	434.250	136.009	291.413	241.039	32.803	130.849	395.598
1194	5.96500	338.573	353.187	182.624	302.111	413.372	148.518	351.661	347.146	90.697	301.832	319.824	154.399	63.333	107.274	379.866	49.658	83.832	433.993	136.392	291.760	240.682	33.002	131.306	395.301
1195	5.97000	338.579	353.165	182.618	302.108	413.362	148.536	351.669	347.134	90.707	301.829	319.832	154.408	63.445	107.709	379.570	49.812	84.355	433.701	136.621	291.948	240.086	33.173	131.814	394.988
1196	5.97500	338.577	353.163	182.611	302.112	413.342	148.531	351.665	347.130	90.712	301.830	319.820	154.403	63.590	108.175	379.204	49.950	84.822	433.312	136.934	292.423	239.813	33.352	132.319	394.678
1197	5.98000	338.577	353.157	182.616	302.106	413.351	148.527	351.672	347.133	90.704	301.837	319.820	154.398	63.638	108.571	378.875	50.036	85.309	433.109	137.335	292.304	239.028	33.520	132.846	394.360
1198	5.98500	338.578	353.155	182.611	302.115	413.355	148.536	351.674	347.139	90.701	301.836	319.819	154.405	63.701	108.975	378.550	50.154	85.716	432.730	137.608	292.723	238.793	33.681	133.334	394.152
1199	5.99000	338.576	353.157	182.607	302.112	413.351	148.532	351.666	347.129	90.694	301.841	319.806	154.399	63.692	109.338	378.274	50.262	86.012	432.608	138.201	292.538	238.087	33.824	134.004	393.704
1200	5.99500	338.580	353.136	182.604	302.117	413.348	148.539	351.676	347.121	90.700	301.840	319.810	154.391	63.686	109.822	377.856	50.317	86.414	432.259	138.397	293.028	237.854	33.946	134.538	393.494
1201	6.00000	338.583	353.139	182.614	302.118	413.347	148.550	351.675	347.116	90.697	301.848	319.793	154.392	63.672	110.197	377.531	50.243	86.891	431.784	138.570	293.554	237.834	34.028	134.801	393.428
1202	6.00500	338.589	353.141	182.602	302.121	413.349	148.535	351.668	347.128	90.696	301.835	319.785	154.394	63.640	110.641	377.106	50.237	87.282	431.309	139.033	294.030	237.692	34.132	135.377	393.154
1203	6.01000	338.587	353.137	182.608	302.121	413.349	148.548	351.603	347.022	90.556	301.844	319.791	154.402	63.616	111.030	376.800	50.199	87.700	430.996	139.535	294.183	237.347	34.225	135.872	392.870
1204	6.01500	338.588	353.131	182.609	302.117	413.336	148.534	351.606	347.011	90.558	301.839	319.791	154.395	63.586	111.458	376.430	50.175	88.095	430.665	139.742	294.554	237.077	34.281	136.330	392.605
1205	6.02000	338.583	353.138	182.616	302.121	413.331	148.535	351.606	347.006	90.558	301.829	319.792	154.390	63.574	111.876	376.089	50.136	88.559	430.313	140.306	294.669	236.616	34.370	136.881	392.214
1206	6.02500	338.586	353.131	182.610	302.123	413.339	148.547	351.606	347.006	90.564	301.836	319.794	154.395	63.520	112.319	375.730	50.125	89.007	429.899	140.407	295.091	236.272	34.395	137.366	391.885
1207	6.03000	338.579	353.143	182.618	302.124	413.340	148.547	351.600	347.014	90.571	301.840	319.801	154.405	63.539	112.734	375.398	50.063	89.482	429.650	140.827	295.211	235.827	34.443	137.861	391.574
1208	6.03500	338.580	353.148	182.608	302.125	413.331	148.536	351.600	347.023	90.578	301.842	319.804	154.406	63.482	113.173	375.078	50.031	89.963	429.324	140.934	295.502	235.389	34.458	138.343	391.277
1209	6.04000	338.578	353.141	182.614	302.128	413.342	148.541	351.607	347.026	90.572	301.840	319.806	154.408	63.457	113.632	374.787	50.061	90.326	429.192	141.158	295.673	234.869	34.456	139.015	390.852
1210	6.04500	338.593	353.152	182.611	302.114	413.346	148.534	351.608	347.031	90.562	301.839	319.823	154.407	63.394	114.031	374.571	49.994	90.783	428.966	141.302	295.867	234.479	34.444	139.452	390.591
1211	6.05000	338.592	353.161	182.606	302.129	413.349	148.532	351.614	347.030	90.569	301.848	319.820	154.394	63.371	114.513	374.286	49.837	91.366	428.610	141.401	296.450	234.467	34.440	139.754	390.502
1212	6.05500	338.598	353.165	182.611	302.131	413.369	148.525	351.612	347.016	90.560	301.857	319.818	154.405	63.310	114.895	374.093	49.792	91.740	428.524	141.680	296.465	233.952	34.386	140.371	390.143
1213	6.06000	338.607	353.164	182.601	302.145	413.357	148.527	351.613	347.054	90.562	301.867	319.809	154.402	63.197	115.316	373.835	49.573	92.253	428.240	141.815	296.866	233.895	34.344	140.668	390.104
1214	6.06500	338.606	353.158	182.599	302.147	413.355	148.524	351.620	347.026	90.562	301.872	319.809	154.387	63.043	115.585	373.764	49.397	92.621	428.130	142.083	296.784	233.512	34.225	141.099	389.870
1215	6.07000	338.615	353.161	182.597	302.156	413.354	148.523	351.616	347.058	90.553	301.873	319.812	154.399	62.907	115.923	373.710	49.209	92.892	428.143	142.146	296.989	233.370	34.007	141.553	389.566
1216	6.07500	338.623	353.150	182.601	302.157	413.354	148.525	351.624	347.050	90.555	301.874	319.804	154.393	62.766	116.195	373.658	48.790	93.288	428.025	142.775	296.966	233.347	33.801	141.852	389.285
1217	6.08000	338.622	353.140	182.602	302.151	413.351	148.530	351.610	347.038	90.555	301.874	319.809	154.404	62.677	116.549	373.496	48.253	93.833	427.784	143.234	297.315	233.590	33.531	142.007	389.105
1218	6.08500	338.614	353.135	182.603	302.150	413.348	148.527	351.619	347.019	90.545	301.865	319.797	154.399	62.537	116.857	373.496	47.846	94.205	427.789	143.796	297.206	233.385	33.231	142.445	388.594
1219	6.09000	338.616	353.122	182.609	302.144	413.338	148.533	351.616	347.036	90.560	301.820	319.817	154.362	62.381	117.168	373.475	47.327	94.719	427.705	144.173	297.206	233.251	32.873	142.714	388.219
1220	6.09500	338.608	353.111	182.608	302.144	413.321	148.535	351.611	347.037	90.555	301.817	319.803	154.358	62.218	117.513	373.368	46.790	95.279	427.512	144.258	297.489	233.267	32.508	142.847	387.990
1221	6.10000	338.604	353.120	182.604	302.142	413.322	148.541	351.616	347.005	90.542	301.817	319.806	154.360	61.973	117.829	373.337	46.230	95.779	427.408	144.737	297.382	233.063	32.138	143.191	387.575
1222	6.10500	338.604	353.106	182.604	302.138	413.311	148.535	351.608	347.026	90.550	301.802	319.799	154.346	61.745	118.210	373.255	45.648	96.278	427.307	145.153	297.502	233.066	31.767	143.522	387.232
1223	6.11000	338.602	353.101	182.614	302.129	413.315	148.541	351.609	347.024	90.558	301.803	319.810	154.352	61.512	118.541	373.185	45.067	96.772	427.164	145.661	297.561	233.064	31.384	143.898	386.903
1224	6.11500	338.601	353.108	182.612	302.135	413.322	148.547	351.609	347.028	90.564	301.803	319.801	154.356	61.169	118.908	373.043	44.503	97.268	427.004	145.920	297.572	232.834	31.000	144.286	386.573
1225	6.12000	338.601	353.118	182.601	302.130	413.327	148.537	351.600	347.025	90.564	301.806	319.802	154.354	60.842	119.303	372.890	43.935	97.663	426.947	146.403	297.542	232.639	30.589	144.855	386.068
1226	6.12500	338.596	353.121	182.608	302.135	413.318	148.541	351.601	347.002	90.551	301.804	319.814	154.351	60.439	119.657	372.762	43.346	98.182	426.737	146.897	297.396	232.351	30.226	145.333	385.711
1227	6.13000	338.601	353.127	182.605	302.129	413.321	148.539	351.599	347.037	90.564	301.790	319.820	154.361	60.055	120.144	372.491	42.710	98.781	426.382	147.053	297.835	232.420	29.828	145.713	385.516
1228	6.13500	338.601	353.130	182.613	302.125	413.338	148.527	351.607	347.041	90.566	301.797	319.826	154.353	59.633	120.515	372.216	42.114	99.329	426.026	147.737	297.677	232.099	29.503	146.293	385.158
1229	6.14000	338.599	353.135	182.610	302.122	413.334	148.531	351.602	347.046	90.563	301.796	319.836	154.369	59.200	121.027	371.865	41.575	99.739	425.809	148.316	297.752	231.882	29.194	147.024	384.675
1230	6.14500	338.597	353.146	182.610	302.132	413.339	148.526	351.606	347.043	90.555	301.797	319.845	154.354	58.747	121.474	371.544	40.977	100.293	425.343	148.512	298.147	231.918	28.836	147.438	384.520
1231	6.15000	338.602	353.160	182.601	302.126	413.347	148.526	351.604	347.041	90.554	301.803	319.842	154.349	58.289	121.923	371.142	40.404	100.746	424.940	148.950	298.340	231.805	28.516	148.007	384.203
1232	6.15500	338.595	353.159	182.602	302.142	413.344	148.526	351.596	347.057	90.559	301.799	319.852	154.354	57.829	122.344	370.764	39.896	101.163	424.488	149.319	298.599	231.728	28.218	148.572	383.910
1233	6.16000	338.600	353.166	182.600	302.129	413.353	148.516	351.607	347.054	90.558	301.800	319.845	154.359	57.437	122.750	370.404	39.389	101.553	424.094	149.887	298.788	231.716	27.948	149.159	383.586
1234	6.16500	338.602	353.161	182.613	302.152	413.359	148.517	351.607	347.049	90.563	301.795	319.856	154.357	56.998	123.123	370.000	38.931	101.835	423.782	150.317	298.771	231.394	27.666	149.794	383.121
1235	6.17000	338.597	353.174	182.606	302.131	413.366	148.512	351.607	347.062	90.553	301.802	319.850	154.352	56.643	123.446	369.678	38.469	102.262	423.245	150.528	299.181	231.523	27.403	150.085	382.995
1236	6.17500	338.609	353.154	182.598	302.130	413.370	148.524	351.602	347.064	90.557	301.802	319.857	154.359	56.323	123.844	369.308	38.099	102.600	422.867	150.671	299.570	231.498	27.179	150.511	382.740
1237	6.18000	338.604	353.174	182.596	302.134	413.360	148.525	351.602	347.056	90.564	301.807	319.855	154.354	56.076	124.181	368.976	37.725	102.929	422.571	151.005	299.726	231.362	26.952	150.962	382.391
1238	6.18500	338.607	353.170	182.612	302.145	413.363	148.518	351.608	347.062	90.561	301.800	319.856	154.364	55.826	124.534	368.726	37.447	103.155	422.381	151.053	300.028	231.251	26.712	151.431	382.015
1239	6.19000	338.600	353.171	182.598	302.144	413.363	148.524	351.603	347.059	90.563	301.802	319.863	154.361	55.679	124.899	368.497	37.147	103.587	422.074	151.082	300.451	231.258	26.526	151.654	381.806
1240	6.19500	338.606	353.174	182.601	302.136	413.377	148.511	351.607	347.058	90.557	301.805	319.875	154.364	55.547	125.192	368.462	36.898	103.994	421.899	151.215	300.610	231.123	26.325	151.962	381.498
1241	6.20000	338.607	353.183	182.604	302.135	413.368	148.524	351.609	347.059	90.562	301.813	319.866	154.347	55.464	125.539	368.334	36.667	104.433	421.804	151.189	300.816	230.904	26.140	152.254	381.273
1242	6.20500	338.611	353.185	182.605	302.133	413.384	148.507	351.617	347.064	90.562	301.811	319.875	154.350	55.427	125.885	368.285	36.440	104.936	421.786	151.249	300.930	230.668	25.961	152.576	381.093
1243	6.21000	338.618	353.188	182.602	302.147	413.379	148.511	351.614	347.067	90.555	301.808	319.878	154.365	55.422	126.287	368.336	36.278	105.410	421.925	151.412	300.917	230.289	25.811	153.040	380.691
1244	6.21500	338.614	353.183	182.604	302.145	413.380	148.512	351.617	347.075	90.558	301.820	319.873	154.361	55.440	126.655	368.439	36.052	106.138	421.914	151.513	300.910	229.956	25.673	153.262	380.590
1245	6.22000	338.615	353.209	182.600	302.154	413.389	148.511	351.615	347.071	90.550	301.825	319.882	154.350	55.420	127.059	368.634	35.885	106.800	422.046	151.532	300.919	229.616	25.520	153.636	380.480
1246	6.22500	338.623	353.197	182.595	302.157	413.384	148.499	351.622	347.076	90.545	301.824	319.888	154.356	55.432	127.508	368.750	35.729	107.538	422.247	151.752	300.631	228.966	25.427	154.126	380.283
1247	6.23000	338.629	353.193	182.585	302.156	413.393	148.500	351.625	347.081	90.546	301.824	319.891	154.345	55.578	127.615	369.395	35.664	108.217	422.649	153.206	299.624	228.783	25.508	154.831	380.485
1248	6.23500	338.638	353.213	182.587	302.162	413.396	148.484	351.617	347.091	90.543	301.830	319.894	154.354	55.431	128.557	369.053	35.568	108.987	422.864	152.650	300.119	228.006	25.441	155.586	380.260
1249	6.24000	338.630	353.213	182.583	302.173	413.402	148.485	351.626	347.088	90.546	301.836	319.900	154.352	55.415	129.036	369.245	35.482	109.742	423.041	152.909	299.948	227.526	25.404	156.162	380.216
1250	6.24500	338.643	353.224	182.576	302.165	413.420	148.485	351.626	347.094	90.546	301.836	319.905	154.354	55.354	129.486	369.436	35.391	110.588	423.142	153.026	299.686	226.947	25.420	156.537	380.367
1251	6.25000	338.639	353.228	182.594	302.162	413.419	148.479	351.623	347.091	90.539	301.835	319.912	154.356	55.430	129.720	369.886	35.425	111.245	423.377	153.450	299.257	226.520	25.363	157.156	380.390
1252	6.25500	338.639	353.232	182.582	302.164	413.423	148.496	351.623	347.095	90.553	301.829	319.918	154.358	55.351	130.244	369.944	35.397	111.986	423.509	153.285	299.222	225.881	25.335	157.678	380.440
1253	6.26000	338.630	353.238	182.592	302.168	413.426	148.486	351.629	347.097	90.551	301.827	319.922	154.355	55.277	130.910	369.658	35.371	112.667	423.585	153.428	299.297	225.224	25.360	158.564	380.334
1254	6.26500	338.631	353.244	182.599	302.153	413.441	148.482	351.624	347.103	90.554	301.820	319.928	154.353	55.086	131.165	369.985	35.309	113.378	423.517	153.966	298.719	224.750	25.432	158.992	380.512
1255	6.27000	338.632	353.262	182.594	302.154	413.441	148.479	351.616	347.115	90.558	301.814	319.932	154.358	54.967	131.659	369.893	35.312	113.961	423.499	154.109	298.727	224.257	25.477	159.659	380.490
1256	6.27500	338.628	353.261	182.600	302.158	413.446	148.477	351.615	347.114	90.550	301.821	319.950	154.359	54.900	132.080	369.746	35.321	114.484	423.404	154.173	298.774	223.760	25.504	160.198	380.397
1257	6.28000	338.619	353.276	182.598	302.151	413.450	148.480	351.621	347.113	90.558	301.816	319.946	154.363	54.919	132.703	369.447	35.367	114.894	423.353	154.051	299.547	223.725	25.561	160.777	380.289
1258	6.28500	338.623	353.279	182.596	302.147	413.448	148.485	351.618	347.120	90.557	301.818	319.951	154.362	54.737	132.936	369.345	35.358	115.324	423.171	154.499	298.958	222.871	25.582	161.416	379.947
1259	6.29000	338.620	353.282	182.591	302.150	413.449	148.470	351.619	347.137	90.555	301.818	319.966	154.372	54.722	133.319	369.058	35.304	115.779	422.757	154.742	299.443	222.919	25.680	161.676	379.963
1260	6.29500	338.624	353.284	182.586	302.151	413.465	148.471	351.617	347.121	90.558	301.818	319.959	154.367	54.702	133.681	368.727	35.326	116.140	422.503	154.582	299.749	222.460	25.660	162.065	379.680
1261	6.30000	338.619	353.277	182.590	302.143	413.452	148.484	351.618	347.122	90.552	301.821	319.961	154.372	54.727	133.948	368.510	35.281	116.434	422.206	154.800	300.021	222.350	25.671	162.311	379.394
1262	6.30500	338.623	353.283	182.591	302.147	413.466	148.488	351.609	347.123	90.563	301.813	319.967	154.369	54.765	134.207	368.207	35.294	116.585	421.991	155.081	300.166	222.034	25.665	162.774	378.836
