NO_OF_FRAMES	12020
NO_OF_CAMERAS	14
NO_OF_MARKERS	11
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 11:49:28.214	91972.22731710
DATA_INCLUDED	3D
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter3_mid3_tip1	catheter3_mid3_tip2	catheter3_mid3_tip3	catheter3_mid3_tip4	catheter3_mid3_tip5	catheter3_mid3_tip6	catheter3_mid3_tip7
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter3_mid3_tip1 X	catheter3_mid3_tip1 Y	catheter3_mid3_tip1 Z	catheter3_mid3_tip2 X	catheter3_mid3_tip2 Y	catheter3_mid3_tip2 Z	catheter3_mid3_tip3 X	catheter3_mid3_tip3 Y	catheter3_mid3_tip3 Z	catheter3_mid3_tip4 X	catheter3_mid3_tip4 Y	catheter3_mid3_tip4 Z	catheter3_mid3_tip5 X	catheter3_mid3_tip5 Y	catheter3_mid3_tip5 Z	catheter3_mid3_tip6 X	catheter3_mid3_tip6 Y	catheter3_mid3_tip6 Z	catheter3_mid3_tip7 X	catheter3_mid3_tip7 Y	catheter3_mid3_tip7 Z	
18	0.08500	418.755	335.003	221.174	390.964	393.692	177.864	451.076	325.454	133.926	388.740	300.510	187.140	317.189	481.587	15.016	188.729	481.768	2.644	314.791	481.773	30.907	360.820	513.356	30.622	356.727	480.113	54.145	412.703	477.213	34.186	117.877	488.214	2.173
19	0.09000	418.750	335.001	221.181	390.962	393.700	177.863	451.081	325.449	133.941	388.740	300.509	187.142	317.209	481.568	15.016	188.713	481.772	2.641	314.784	481.763	30.927	360.809	513.359	30.620	356.737	480.106	54.155	412.703	477.236	34.184	117.858	488.206	2.182
20	0.09500	418.746	335.013	221.185	390.951	393.691	177.866	451.075	325.453	133.934	388.735	300.518	187.152	317.218	481.603	15.035	188.697	481.757	2.653	314.793	481.769	30.907	360.819	513.366	30.627	356.727	480.111	54.152	412.710	477.201	34.184	117.853	488.237	2.182
21	0.10000	418.749	335.007	221.183	390.961	393.696	177.868	451.076	325.459	133.948	388.725	300.519	187.146	317.215	481.574	15.035	188.714	481.765	2.668	314.797	481.762	30.925	360.807	513.362	30.643	356.721	480.131	54.150	412.702	477.203	34.175	117.864	488.241	2.191
22	0.10500	418.751	335.004	221.194	390.958	393.693	177.859	451.080	325.462	133.949	388.725	300.520	187.137	317.217	481.586	15.046	188.700	481.805	2.636	314.791	481.765	30.917	360.812	513.370	30.640	356.718	480.128	54.153	412.696	477.211	34.192	117.845	488.238	2.170
23	0.11000	418.745	335.019	221.185	390.960	393.690	177.854	451.071	325.458	133.956	388.734	300.523	187.143	317.211	481.570	15.010	188.689	481.772	2.664	314.792	481.771	30.909	360.810	513.367	30.633	356.718	480.121	54.155	412.699	477.220	34.191	117.846	488.246	2.198
24	0.11500	418.751	335.014	221.188	390.968	393.720	177.888	451.067	325.460	133.948	388.728	300.531	187.143	317.216	481.579	15.041	188.677	481.806	2.621	314.789	481.758	30.918	360.811	513.370	30.629	356.720	480.130	54.152	412.708	477.214	34.184	117.846	488.275	2.203
25	0.12000	418.757	335.015	221.186	390.960	393.696	177.861	451.077	325.455	133.953	388.735	300.520	187.150	317.232	481.565	15.030	188.691	481.796	2.648	314.783	481.762	30.923	360.817	513.361	30.646	356.719	480.119	54.156	412.707	477.206	34.189	117.842	488.243	2.201
26	0.12500	418.750	335.020	221.194	390.965	393.688	177.862	451.072	325.459	133.950	388.734	300.521	187.152	317.217	481.581	15.041	188.694	481.804	2.639	314.781	481.780	30.912	360.814	513.385	30.649	356.723	480.117	54.155	412.698	477.209	34.186	117.833	488.260	2.195
27	0.13000	418.753	335.017	221.185	390.960	393.688	177.856	451.075	325.449	133.953	388.729	300.520	187.146	317.223	481.595	15.013	188.704	481.793	2.654	314.798	481.757	30.918	360.819	513.370	30.641	356.717	480.117	54.155	412.705	477.216	34.186	117.851	488.212	2.180
