NO_OF_FRAMES	5500
NO_OF_CAMERAS	14
NO_OF_MARKERS	11
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 10:57:21.232	88845.24398590
DATA_INCLUDED	3D
EVENT	Extra markers on catheter, no marker on tip, ideal phantom angle	1	0.00000
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter3_mid3_tip1	catheter3_mid3_tip2	catheter3_mid3_tip3	catheter3_mid3_tip4	catheter3_mid3_tip5	catheter3_mid3_tip6	catheter3_mid3_tip7
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Virtual
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter3_mid3_tip1 X	catheter3_mid3_tip1 Y	catheter3_mid3_tip1 Z	catheter3_mid3_tip2 X	catheter3_mid3_tip2 Y	catheter3_mid3_tip2 Z	catheter3_mid3_tip3 X	catheter3_mid3_tip3 Y	catheter3_mid3_tip3 Z	catheter3_mid3_tip4 X	catheter3_mid3_tip4 Y	catheter3_mid3_tip4 Z	catheter3_mid3_tip5 X	catheter3_mid3_tip5 Y	catheter3_mid3_tip5 Z	catheter3_mid3_tip6 X	catheter3_mid3_tip6 Y	catheter3_mid3_tip6 Z	catheter3_mid3_tip7 X	catheter3_mid3_tip7 Y	catheter3_mid3_tip7 Z	
17	0.08000	420.520	336.701	221.209	391.043	395.288	178.472	452.266	328.364	133.573	391.122	301.702	187.324	317.808	477.027	47.228	191.760	475.368	18.745	319.707	469.204	34.335	365.129	447.046	29.819	364.309	489.212	30.375	412.543	475.060	62.297	124.065	468.347	-3.343
18	0.08500	420.520	336.710	221.205	391.037	395.284	178.459	452.257	328.354	133.573	391.110	301.670	187.325	317.806	477.026	47.220	191.758	475.366	18.763	319.698	469.205	34.329	365.120	447.025	29.832	364.315	489.226	30.376	412.541	475.041	62.298	124.059	468.354	-3.327
19	0.09000	420.524	336.696	221.211	391.047	395.293	178.463	452.263	328.351	133.582	391.116	301.689	187.301	317.799	477.037	47.221	191.738	475.352	18.738	319.710	469.200	34.320	365.140	447.008	29.852	364.292	489.240	30.368	412.552	475.048	62.290	124.062	468.325	-3.346
20	0.09500	420.511	336.709	221.209	391.036	395.289	178.462	452.260	328.356	133.575	391.108	301.695	187.297	317.809	477.040	47.238	191.763	475.356	18.730	319.697	469.177	34.329	365.117	447.003	29.828	364.311	489.204	30.379	412.545	475.047	62.299	124.065	468.337	-3.356
21	0.10000	420.516	336.688	221.212	391.037	395.282	178.453	452.255	328.340	133.575	391.100	301.706	187.307	317.804	477.034	47.225	191.744	475.340	18.761	319.703	469.192	34.310	365.120	447.025	29.832	364.311	489.227	30.384	412.548	475.044	62.295	124.059	468.323	-3.329
22	0.10500	420.517	336.696	221.210	391.038	395.278	178.468	452.257	328.353	133.579	391.097	301.673	187.322	317.804	477.027	47.227	191.762	475.371	18.751	319.698	469.192	34.322	365.134	447.026	29.848	364.299	489.226	30.366	412.556	475.034	62.280	124.062	468.351	-3.330
23	0.11000	420.495	336.718	221.179	391.046	395.280	178.471	452.262	328.351	133.574	391.114	301.687	187.297	317.801	477.035	47.221	191.765	475.376	18.736	319.702	469.188	34.327	365.132	447.024	29.836	364.306	489.197	30.356	412.544	475.046	62.297	124.065	468.353	-3.352
24	0.11500	420.494	336.733	221.186	391.042	395.281	178.459	452.260	328.351	133.581	391.130	301.553	187.425	317.807	477.023	47.213	191.752	475.359	18.755	319.708	469.192	34.324	365.132	447.032	29.828	364.302	489.213	30.370	412.538	475.043	62.286	124.060	468.338	-3.333
25	0.12000	420.490	336.727	221.185	391.051	395.277	178.472	452.264	328.356	133.589	391.104	301.700	187.305	317.809	477.001	47.236	191.760	475.340	18.755	319.706	469.192	34.296	365.141	447.040	29.835	364.324	489.218	30.380	412.550	475.039	62.276	124.069	468.318	-3.334
26	0.12500	420.490	336.724	221.185	391.041	395.271	178.465	452.259	328.354	133.589	391.115	301.703	187.303	317.818	477.017	47.226	191.752	475.356	18.750	319.716	469.183	34.320	365.136	447.045	29.847	364.304	489.226	30.381	412.548	475.051	62.293	124.068	468.326	-3.340
27	0.13000	420.499	336.735	221.181	391.045	395.270	178.483	452.259	328.363	133.588	391.109	301.692	187.295	317.807	477.023	47.227	191.761	475.376	18.736	319.712	469.169	34.329	365.163	447.039	29.824	364.301	489.222	30.380	412.540	475.071	62.290	124.072	468.335	-3.354
28	0.13500	420.490	336.737	221.169	391.055	395.264	178.468	452.263	328.363	133.597	391.134	301.570	187.415	317.810	477.014	47.224	191.738	475.365	18.749	319.714	469.154	34.332	365.140	447.048	29.840	364.300	489.234	30.382	412.546	475.050	62.275	124.062	468.328	-3.331
29	0.14000	420.495	336.739	221.176	391.060	395.257	178.479	452.256	328.362	133.583	391.107	301.725	187.257	317.819	477.014	47.234	191.741	475.363	18.738	319.729	469.167	34.315	365.147	447.059	29.846	364.307	489.235	30.382	412.550	475.060	62.289	124.073	468.324	-3.350
