FRAME,TIME,PHANTOM,MARKER_NR,TRAJECTORY_TYPE,X,Y,Z
13,0.06000,catheter,tip1,Measured,303.309,84.557,-20.422
13,0.06000,catheter,tip2,Measured,356.263,72.277,3.590
13,0.06000,catheter,tip3,Virtual,60.984,67.399,-21.836
13,0.06000,catheter,tip4,Measured,305.278,42.832,-19.797
14,0.06500,skull,phantom1,Measured,338.659,353.365,182.567
14,0.06500,skull,phantom2,Measured,302.158,413.440,148.471
14,0.06500,skull,phantom3,Measured,351.636,347.220,90.406
14,0.06500,skull,phantom4,Measured,301.861,320.037,154.338
14,0.06500,catheter,tip1,Measured,303.309,84.575,-20.435
14,0.06500,catheter,tip2,Measured,356.276,72.284,3.589
14,0.06500,catheter,tip3,Virtual,60.990,67.430,-21.859
14,0.06500,catheter,tip4,Measured,305.281,42.834,-19.802
15,0.07000,skull,phantom1,Measured,338.669,353.374,182.556
15,0.07000,skull,phantom2,Measured,302.166,413.444,148.476
15,0.07000,skull,phantom3,Measured,351.639,347.227,90.401
15,0.07000,skull,phantom4,Measured,301.863,320.042,154.334
15,0.07000,catheter,tip1,Measured,303.307,84.589,-20.422
15,0.07000,catheter,tip2,Measured,356.278,72.269,3.587
15,0.07000,catheter,tip3,Virtual,60.985,67.503,-21.778
15,0.07000,catheter,tip4,Measured,305.274,42.832,-19.789
16,0.07500,skull,phantom1,Measured,338.675,353.373,182.563
16,0.07500,skull,phantom2,Measured,302.172,413.452,148.461
16,0.07500,skull,phantom3,Measured,351.647,347.228,90.401
16,0.07500,skull,phantom4,Measured,301.881,320.056,154.347
16,0.07500,catheter,tip1,Measured,303.306,84.560,-20.416
16,0.07500,catheter,tip2,Measured,356.273,72.268,3.589
16,0.07500,catheter,tip3,Virtual,60.942,67.654,-21.677
16,0.07500,catheter,tip4,Measured,305.159,42.756,-19.764
17,0.08000,skull,phantom1,Measured,338.672,353.390,182.567
17,0.08000,skull,phantom2,Measured,302.163,413.470,148.448
17,0.08000,skull,phantom3,Measured,351.651,347.238,90.401
17,0.08000,skull,phantom4,Measured,301.872,320.060,154.339
