FRAME,TIME,PHANTOM,MARKER_NR,TRAJECTORY_TYPE,X,Y,Z
1184,5.91500,catheter,tip2,Measured,47.229,78.259,437.565
1184,5.91500,catheter,tip3,Virtual,132.543,289.392,247.126
1184,5.91500,catheter,tip4,Measured,30.275,126.403,399.783
1185,5.92000,skull,phantom1,Measured,338.606,353.222,182.609
1185,5.92000,skull,phantom2,Measured,302.142,413.405,148.507
1185,5.92000,skull,phantom3,Measured,351.693,347.166,90.693
1185,5.92000,skull,phantom4,Measured,301.819,319.927,154.386
1185,5.92000,catheter,tip1,Measured,60.766,103.046,383.184
1185,5.92000,catheter,tip2,Measured,47.564,78.722,437.033
1185,5.92000,catheter,tip3,Virtual,132.865,289.733,246.447
1185,5.92000,catheter,tip4,Measured,30.624,126.896,399.325
1186,5.92500,skull,phantom1,Measured,338.615,353.220,182.606
1186,5.92500,skull,phantom2,Measured,302.132,413.406,148.489
1186,5.92500,skull,phantom3,Measured,351.697,347.170,90.698
1186,5.92500,skull,phantom4,Measured,301.822,319.916,154.373
1186,5.92500,catheter,tip1,Measured,61.016,103.513,382.682
1186,5.92500,catheter,tip2,Measured,47.891,79.214,436.508
1186,5.92500,catheter,tip3,Virtual,133.297,290.044,245.784
1186,5.92500,catheter,tip4,Measured,30.986,127.431,398.826
1187,5.93000,skull,phantom1,Measured,338.609,353.213,182.602
1187,5.93000,skull,phantom2,Measured,302.141,413.404,148.505
1187,5.93000,skull,phantom3,Measured,351.701,347.166,90.696
1187,5.93000,skull,phantom4,Measured,301.866,319.872,154.389
1187,5.93000,catheter,tip1,Measured,61.349,103.981,382.229
1187,5.93000,catheter,tip2,Measured,48.263,79.612,436.165
1187,5.93000,catheter,tip3,Virtual,133.702,290.318,245.092
1187,5.93000,catheter,tip4,Measured,31.285,128.038,398.186
1188,5.93500,skull,phantom1,Measured,338.612,353.215,182.598
1188,5.93500,skull,phantom2,Measured,302.145,413.399,148.509
1188,5.93500,skull,phantom3,Measured,351.695,347.164,90.693
1188,5.93500,skull,phantom4,Measured,301.863,319.867,154.403
1188,5.93500,catheter,tip1,Measured,61.675,104.441,381.836
1188,5.93500,catheter,tip2,Measured,48.529,80.156,435.832
1188,5.93500,catheter,tip3,Virtual,133.970,290.581,244.424
1188,5.93500,catheter,tip4,Measured,31.543,128.481,397.700
1189,5.94000,skull,phantom1,Measured,338.598,353.220,182.608
1189,5.94000,skull,phantom2,Measured,302.128,413.407,148.507
1189,5.94000,skull,phantom3,Measured,351.691,347.168,90.696
1189,5.94000,skull,phantom4,Measured,301.865,319.858,154.413
1189,5.94000,catheter,tip1,Measured,62.094,104.769,381.458
1189,5.94000,catheter,tip2,Measured,48.733,80.846,435.401
1189,5.94000,catheter,tip3,Virtual,134.570,290.597,243.715
1189,5.94000,catheter,tip4,Measured,31.867,128.802,397.412
1190,5.94500,skull,phantom1,Measured,338.599,353.206,182.599
1190,5.94500,skull,phantom2,Measured,302.129,413.394,148.504
1190,5.94500,skull,phantom3,Measured,351.686,347.158,90.687
1190,5.94500,skull,phantom4,Measured,301.863,319.849,154.401
1190,5.94500,catheter,tip1,Measured,62.308,105.326,381.114
1190,5.94500,catheter,tip2,Measured,48.987,81.436,435.080
1190,5.94500,catheter,tip3,Virtual,134.571,290.998,243.048
1190,5.94500,catheter,tip4,Measured,32.083,129.280,396.928
1191,5.95000,skull,phantom1,Measured,338.592,353.201,182.607
1191,5.95000,skull,phantom2,Measured,302.121,413.386,148.516
1191,5.95000,skull,phantom3,Measured,351.681,347.151,90.697
1191,5.95000,skull,phantom4,Measured,301.845,319.843,154.397
1191,5.95000,catheter,tip1,Measured,62.626,105.809,380.731
1191,5.95000,catheter,tip2,Measured,49.191,82.057,434.822
1191,5.95000,catheter,tip3,Virtual,135.036,291.062,242.243
1191,5.95000,catheter,tip4,Measured,32.341,129.780,396.444
1192,5.95500,skull,phantom1,Measured,338.590,353.197,182.615
1192,5.95500,skull,phantom2,Measured,302.120,413.380,148.521
1192,5.95500,skull,phantom3,Measured,351.678,347.145,90.704
1192,5.95500,skull,phantom4,Measured,301.838,319.854,154.401
1192,5.95500,catheter,tip1,Measured,62.877,106.262,380.454
1192,5.95500,catheter,tip2,Measured,49.373,82.663,434.521
1192,5.95500,catheter,tip3,Virtual,135.565,291.159,241.569
1192,5.95500,catheter,tip4,Measured,32.573,130.314,395.992
1193,5.96000,skull,phantom1,Measured,338.581,353.184,182.611
1193,5.96000,skull,phantom2,Measured,302.106,413.380,148.532
1193,5.96000,skull,phantom3,Measured,351.666,347.151,90.696
1193,5.96000,skull,phantom4,Measured,301.829,319.834,154.408
1193,5.96000,catheter,tip1,Measured,63.093,106.788,380.177
1193,5.96000,catheter,tip2,Measured,49.532,83.279,434.250
1193,5.96000,catheter,tip3,Virtual,136.009,291.413,241.039
1193,5.96000,catheter,tip4,Measured,32.803,130.849,395.598
1194,5.96500,skull,phantom1,Measured,338.573,353.187,182.624
1194,5.96500,skull,phantom2,Measured,302.111,413.372,148.518
1194,5.96500,skull,phantom3,Measured,351.661,347.146,90.697
1194,5.96500,skull,phantom4,Measured,301.832,319.824,154.399
1194,5.96500,catheter,tip1,Measured,63.333,107.274,379.866
1194,5.96500,catheter,tip2,Measured,49.658,83.832,433.993
1194,5.96500,catheter,tip3,Virtual,136.392,291.760,240.682
1194,5.96500,catheter,tip4,Measured,33.002,131.306,395.301
1195,5.97000,skull,phantom1,Measured,338.579,353.165,182.618
1195,5.97000,skull,phantom2,Measured,302.108,413.362,148.536
1195,5.97000,skull,phantom3,Measured,351.669,347.134,90.707
1195,5.97000,skull,phantom4,Measured,301.829,319.832,154.408
1195,5.97000,catheter,tip1,Measured,63.445,107.709,379.570
1195,5.97000,catheter,tip2,Measured,49.812,84.355,433.701
1195,5.97000,catheter,tip3,Virtual,136.621,291.948,240.086
1195,5.97000,catheter,tip4,Measured,33.173,131.814,394.988
1196,5.97500,skull,phantom1,Measured,338.577,353.163,182.611
1196,5.97500,skull,phantom2,Measured,302.112,413.342,148.531
1196,5.97500,skull,phantom3,Measured,351.665,347.130,90.712
1196,5.97500,skull,phantom4,Measured,301.830,319.820,154.403
1196,5.97500,catheter,tip1,Measured,63.590,108.175,379.204
1196,5.97500,catheter,tip2,Measured,49.950,84.822,433.312
1196,5.97500,catheter,tip3,Virtual,136.934,292.423,239.813
1196,5.97500,catheter,tip4,Measured,33.352,132.319,394.678
1197,5.98000,skull,phantom1,Measured,338.577,353.157,182.616
1197,5.98000,skull,phantom2,Measured,302.106,413.351,148.527
1197,5.98000,skull,phantom3,Measured,351.672,347.133,90.704
1197,5.98000,skull,phantom4,Measured,301.837,319.820,154.398
1197,5.98000,catheter,tip1,Measured,63.638,108.571,378.875
1197,5.98000,catheter,tip2,Measured,50.036,85.309,433.109
1197,5.98000,catheter,tip3,Virtual,137.335,292.304,239.028
1197,5.98000,catheter,tip4,Measured,33.520,132.846,394.360
1198,5.98500,skull,phantom1,Measured,338.578,353.155,182.611
1198,5.98500,skull,phantom2,Measured,302.115,413.355,148.536
1198,5.98500,skull,phantom3,Measured,351.674,347.139,90.701
1198,5.98500,skull,phantom4,Measured,301.836,319.819,154.405
1198,5.98500,catheter,tip1,Measured,63.701,108.975,378.550
1198,5.98500,catheter,tip2,Measured,50.154,85.716,432.730
1198,5.98500,catheter,tip3,Virtual,137.608,292.723,238.793
1198,5.98500,catheter,tip4,Measured,33.681,133.334,394.152
1199,5.99000,skull,phantom1,Measured,338.576,353.157,182.607
1199,5.99000,skull,phantom2,Measured,302.112,413.351,148.532
1199,5.99000,skull,phantom3,Measured,351.666,347.129,90.694
1199,5.99000,skull,phantom4,Measured,301.841,319.806,154.399
1199,5.99000,catheter,tip1,Measured,63.692,109.338,378.274
1199,5.99000,catheter,tip2,Measured,50.262,86.012,432.608
1199,5.99000,catheter,tip3,Virtual,138.201,292.538,238.087
1199,5.99000,catheter,tip4,Measured,33.824,134.004,393.704
1200,5.99500,skull,phantom1,Measured,338.580,353.136,182.604
1200,5.99500,skull,phantom2,Measured,302.117,413.348,148.539
1200,5.99500,skull,phantom3,Measured,351.676,347.121,90.700
1200,5.99500,skull,phantom4,Measured,301.840,319.810,154.391
1200,5.99500,catheter,tip1,Measured,63.686,109.822,377.856
1200,5.99500,catheter,tip2,Measured,50.317,86.414,432.259
1200,5.99500,catheter,tip3,Virtual,138.397,293.028,237.854
1200,5.99500,catheter,tip4,Measured,33.946,134.538,393.494
1201,6.00000,skull,phantom1,Measured,338.583,353.139,182.614
1201,6.00000,skull,phantom2,Measured,302.118,413.347,148.550
1201,6.00000,skull,phantom3,Measured,351.675,347.116,90.697
1201,6.00000,skull,phantom4,Measured,301.848,319.793,154.392
1201,6.00000,catheter,tip1,Measured,63.672,110.197,377.531
1201,6.00000,catheter,tip2,Measured,50.243,86.891,431.784
1201,6.00000,catheter,tip3,Virtual,138.570,293.554,237.834
1201,6.00000,catheter,tip4,Measured,34.028,134.801,393.428
1202,6.00500,skull,phantom1,Measured,338.589,353.141,182.602
1202,6.00500,skull,phantom2,Measured,302.121,413.349,148.535
1202,6.00500,skull,phantom3,Measured,351.668,347.128,90.696
1202,6.00500,skull,phantom4,Measured,301.835,319.785,154.394
1202,6.00500,catheter,tip1,Measured,63.640,110.641,377.106
1202,6.00500,catheter,tip2,Measured,50.237,87.282,431.309
1202,6.00500,catheter,tip3,Virtual,139.033,294.030,237.692
1202,6.00500,catheter,tip4,Measured,34.132,135.377,393.154
1203,6.01000,skull,phantom1,Measured,338.587,353.137,182.608
1203,6.01000,skull,phantom2,Measured,302.121,413.349,148.548
1203,6.01000,skull,phantom3,Measured,351.603,347.022,90.556
1203,6.01000,skull,phantom4,Measured,301.844,319.791,154.402
1203,6.01000,catheter,tip1,Measured,63.616,111.030,376.800
1203,6.01000,catheter,tip2,Measured,50.199,87.700,430.996
1203,6.01000,catheter,tip3,Virtual,139.535,294.183,237.347
1203,6.01000,catheter,tip4,Measured,34.225,135.872,392.870
1204,6.01500,skull,phantom1,Measured,338.588,353.131,182.609
1204,6.01500,skull,phantom2,Measured,302.117,413.336,148.534
1204,6.01500,skull,phantom3,Measured,351.606,347.011,90.558
1204,6.01500,skull,phantom4,Measured,301.839,319.791,154.395
1204,6.01500,catheter,tip1,Measured,63.586,111.458,376.430
1204,6.01500,catheter,tip2,Measured,50.175,88.095,430.665
1204,6.01500,catheter,tip3,Virtual,139.742,294.554,237.077
1204,6.01500,catheter,tip4,Measured,34.281,136.330,392.605
1205,6.02000,skull,phantom1,Measured,338.583,353.138,182.616
1205,6.02000,skull,phantom2,Measured,302.121,413.331,148.535
1205,6.02000,skull,phantom3,Measured,351.606,347.006,90.558
1205,6.02000,skull,phantom4,Measured,301.829,319.792,154.390
1205,6.02000,catheter,tip1,Measured,63.574,111.876,376.089
1205,6.02000,catheter,tip2,Measured,50.136,88.559,430.313
1205,6.02000,catheter,tip3,Virtual,140.306,294.669,236.616
1205,6.02000,catheter,tip4,Measured,34.370,136.881,392.214
1206,6.02500,skull,phantom1,Measured,338.586,353.131,182.610
1206,6.02500,skull,phantom2,Measured,302.123,413.339,148.547
1206,6.02500,skull,phantom3,Measured,351.606,347.006,90.564
1206,6.02500,skull,phantom4,Measured,301.836,319.794,154.395
1206,6.02500,catheter,tip1,Measured,63.520,112.319,375.730
1206,6.02500,catheter,tip2,Measured,50.125,89.007,429.899
1206,6.02500,catheter,tip3,Virtual,140.407,295.091,236.272
1206,6.02500,catheter,tip4,Measured,34.395,137.366,391.885
1207,6.03000,skull,phantom1,Measured,338.579,353.143,182.618
1207,6.03000,skull,phantom2,Measured,302.124,413.340,148.547
1207,6.03000,skull,phantom3,Measured,351.600,347.014,90.571
1207,6.03000,skull,phantom4,Measured,301.840,319.801,154.405
1207,6.03000,catheter,tip1,Measured,63.539,112.734,375.398
1207,6.03000,catheter,tip2,Measured,50.063,89.482,429.650
1207,6.03000,catheter,tip3,Virtual,140.827,295.211,235.827
1207,6.03000,catheter,tip4,Measured,34.443,137.861,391.574
1208,6.03500,skull,phantom1,Measured,338.580,353.148,182.608
1208,6.03500,skull,phantom2,Measured,302.125,413.331,148.536
1208,6.03500,skull,phantom3,Measured,351.600,347.023,90.578
1208,6.03500,skull,phantom4,Measured,301.842,319.804,154.406
1208,6.03500,catheter,tip1,Measured,63.482,113.173,375.078
1208,6.03500,catheter,tip2,Measured,50.031,89.963,429.324
1208,6.03500,catheter,tip3,Virtual,140.934,295.502,235.389
1208,6.03500,catheter,tip4,Measured,34.458,138.343,391.277
1209,6.04000,skull,phantom1,Measured,338.578,353.141,182.614
1209,6.04000,skull,phantom2,Measured,302.128,413.342,148.541
1209,6.04000,skull,phantom3,Measured,351.607,347.026,90.572
1209,6.04000,skull,phantom4,Measured,301.840,319.806,154.408
1209,6.04000,catheter,tip1,Measured,63.457,113.632,374.787
1209,6.04000,catheter,tip2,Measured,50.061,90.326,429.192
1209,6.04000,catheter,tip3,Virtual,141.158,295.673,234.869
1209,6.04000,catheter,tip4,Measured,34.456,139.015,390.852
1210,6.04500,skull,phantom1,Measured,338.593,353.152,182.611
1210,6.04500,skull,phantom2,Measured,302.114,413.346,148.534
1210,6.04500,skull,phantom3,Measured,351.608,347.031,90.562
1210,6.04500,skull,phantom4,Measured,301.839,319.823,154.407
1210,6.04500,catheter,tip1,Measured,63.394,114.031,374.571
1210,6.04500,catheter,tip2,Measured,49.994,90.783,428.966
1210,6.04500,catheter,tip3,Virtual,141.302,295.867,234.479
1210,6.04500,catheter,tip4,Measured,34.444,139.452,390.591
1211,6.05000,skull,phantom1,Measured,338.592,353.161,182.606
1211,6.05000,skull,phantom2,Measured,302.129,413.349,148.532
1211,6.05000,skull,phantom3,Measured,351.614,347.030,90.569
1211,6.05000,skull,phantom4,Measured,301.848,319.820,154.394
1211,6.05000,catheter,tip1,Measured,63.371,114.513,374.286
1211,6.05000,catheter,tip2,Measured,49.837,91.366,428.610
1211,6.05000,catheter,tip3,Virtual,141.401,296.450,234.467
1211,6.05000,catheter,tip4,Measured,34.440,139.754,390.502
1212,6.05500,skull,phantom1,Measured,338.598,353.165,182.611
1212,6.05500,skull,phantom2,Measured,302.131,413.369,148.525
1212,6.05500,skull,phantom3,Measured,351.612,347.016,90.560
1212,6.05500,skull,phantom4,Measured,301.857,319.818,154.405
1212,6.05500,catheter,tip1,Measured,63.310,114.895,374.093
1212,6.05500,catheter,tip2,Measured,49.792,91.740,428.524
1212,6.05500,catheter,tip3,Virtual,141.680,296.465,233.952
1212,6.05500,catheter,tip4,Measured,34.386,140.371,390.143
1213,6.06000,skull,phantom1,Measured,338.607,353.164,182.601
1213,6.06000,skull,phantom2,Measured,302.145,413.357,148.527
1213,6.06000,skull,phantom3,Measured,351.613,347.054,90.562
1213,6.06000,skull,phantom4,Measured,301.867,319.809,154.402
1213,6.06000,catheter,tip1,Measured,63.197,115.316,373.835
1213,6.06000,catheter,tip2,Measured,49.573,92.253,428.240
1213,6.06000,catheter,tip3,Virtual,141.815,296.866,233.895
1213,6.06000,catheter,tip4,Measured,34.344,140.668,390.104
1214,6.06500,skull,phantom1,Measured,338.606,353.158,182.599
1214,6.06500,skull,phantom2,Measured,302.147,413.355,148.524
1214,6.06500,skull,phantom3,Measured,351.620,347.026,90.562
1214,6.06500,skull,phantom4,Measured,301.872,319.809,154.387
1214,6.06500,catheter,tip1,Measured,63.043,115.585,373.764
1214,6.06500,catheter,tip2,Measured,49.397,92.621,428.130
1214,6.06500,catheter,tip3,Virtual,142.083,296.784,233.512
1214,6.06500,catheter,tip4,Measured,34.225,141.099,389.870
1215,6.07000,skull,phantom1,Measured,338.615,353.161,182.597
1215,6.07000,skull,phantom2,Measured,302.156,413.354,148.523
1215,6.07000,skull,phantom3,Measured,351.616,347.058,90.553
1215,6.07000,skull,phantom4,Measured,301.873,319.812,154.399
1215,6.07000,catheter,tip1,Measured,62.907,115.923,373.710
1215,6.07000,catheter,tip2,Measured,49.209,92.892,428.143
1215,6.07000,catheter,tip3,Virtual,142.146,296.989,233.370
1215,6.07000,catheter,tip4,Measured,34.007,141.553,389.566
1216,6.07500,skull,phantom1,Measured,338.623,353.150,182.601
1216,6.07500,skull,phantom2,Measured,302.157,413.354,148.525
1216,6.07500,skull,phantom3,Measured,351.624,347.050,90.555
1216,6.07500,skull,phantom4,Measured,301.874,319.804,154.393
1216,6.07500,catheter,tip1,Measured,62.766,116.195,373.658
1216,6.07500,catheter,tip2,Measured,48.790,93.288,428.025
1216,6.07500,catheter,tip3,Virtual,142.775,296.966,233.347
1216,6.07500,catheter,tip4,Measured,33.801,141.852,389.285
1217,6.08000,skull,phantom1,Measured,338.622,353.140,182.602
1217,6.08000,skull,phantom2,Measured,302.151,413.351,148.530
1217,6.08000,skull,phantom3,Measured,351.610,347.038,90.555
1217,6.08000,skull,phantom4,Measured,301.874,319.809,154.404
1217,6.08000,catheter,tip1,Measured,62.677,116.549,373.496
1217,6.08000,catheter,tip2,Measured,48.253,93.833,427.784
1217,6.08000,catheter,tip3,Virtual,143.234,297.315,233.590
1217,6.08000,catheter,tip4,Measured,33.531,142.007,389.105
1218,6.08500,skull,phantom1,Measured,338.614,353.135,182.603
1218,6.08500,skull,phantom2,Measured,302.150,413.348,148.527
1218,6.08500,skull,phantom3,Measured,351.619,347.019,90.545
1218,6.08500,skull,phantom4,Measured,301.865,319.797,154.399
1218,6.08500,catheter,tip1,Measured,62.537,116.857,373.496
1218,6.08500,catheter,tip2,Measured,47.846,94.205,427.789
1218,6.08500,catheter,tip3,Virtual,143.796,297.206,233.385
1218,6.08500,catheter,tip4,Measured,33.231,142.445,388.594
1219,6.09000,skull,phantom1,Measured,338.616,353.122,182.609
1219,6.09000,skull,phantom2,Measured,302.144,413.338,148.533
1219,6.09000,skull,phantom3,Measured,351.616,347.036,90.560
1219,6.09000,skull,phantom4,Measured,301.820,319.817,154.362
1219,6.09000,catheter,tip1,Measured,62.381,117.168,373.475
1219,6.09000,catheter,tip2,Measured,47.327,94.719,427.705
1219,6.09000,catheter,tip3,Virtual,144.173,297.206,233.251
1219,6.09000,catheter,tip4,Measured,32.873,142.714,388.219
1220,6.09500,skull,phantom1,Measured,338.608,353.111,182.608
1220,6.09500,skull,phantom2,Measured,302.144,413.321,148.535
1220,6.09500,skull,phantom3,Measured,351.611,347.037,90.555
1220,6.09500,skull,phantom4,Measured,301.817,319.803,154.358
1220,6.09500,catheter,tip1,Measured,62.218,117.513,373.368
1220,6.09500,catheter,tip2,Measured,46.790,95.279,427.512
1220,6.09500,catheter,tip3,Virtual,144.258,297.489,233.267
1220,6.09500,catheter,tip4,Measured,32.508,142.847,387.990
1221,6.10000,skull,phantom1,Measured,338.604,353.120,182.604
1221,6.10000,skull,phantom2,Measured,302.142,413.322,148.541
1221,6.10000,skull,phantom3,Measured,351.616,347.005,90.542
1221,6.10000,skull,phantom4,Measured,301.817,319.806,154.360
1221,6.10000,catheter,tip1,Measured,61.973,117.829,373.337
1221,6.10000,catheter,tip2,Measured,46.230,95.779,427.408
1221,6.10000,catheter,tip3,Virtual,144.737,297.382,233.063
1221,6.10000,catheter,tip4,Measured,32.138,143.191,387.575
1222,6.10500,skull,phantom1,Measured,338.604,353.106,182.604
1222,6.10500,skull,phantom2,Measured,302.138,413.311,148.535
1222,6.10500,skull,phantom3,Measured,351.608,347.026,90.550
1222,6.10500,skull,phantom4,Measured,301.802,319.799,154.346
1222,6.10500,catheter,tip1,Measured,61.745,118.210,373.255
1222,6.10500,catheter,tip2,Measured,45.648,96.278,427.307
1222,6.10500,catheter,tip3,Virtual,145.153,297.502,233.066
1222,6.10500,catheter,tip4,Measured,31.767,143.522,387.232
1223,6.11000,skull,phantom1,Measured,338.602,353.101,182.614
1223,6.11000,skull,phantom2,Measured,302.129,413.315,148.541
1223,6.11000,skull,phantom3,Measured,351.609,347.024,90.558
1223,6.11000,skull,phantom4,Measured,301.803,319.810,154.352
1223,6.11000,catheter,tip1,Measured,61.512,118.541,373.185
1223,6.11000,catheter,tip2,Measured,45.067,96.772,427.164
1223,6.11000,catheter,tip3,Virtual,145.661,297.561,233.064
1223,6.11000,catheter,tip4,Measured,31.384,143.898,386.903
1224,6.11500,skull,phantom1,Measured,338.601,353.108,182.612
1224,6.11500,skull,phantom2,Measured,302.135,413.322,148.547
1224,6.11500,skull,phantom3,Measured,351.609,347.028,90.564
1224,6.11500,skull,phantom4,Measured,301.803,319.801,154.356
1224,6.11500,catheter,tip1,Measured,61.169,118.908,373.043
1224,6.11500,catheter,tip2,Measured,44.503,97.268,427.004
1224,6.11500,catheter,tip3,Virtual,145.920,297.572,232.834
1224,6.11500,catheter,tip4,Measured,31.000,144.286,386.573
1225,6.12000,skull,phantom1,Measured,338.601,353.118,182.601
1225,6.12000,skull,phantom2,Measured,302.130,413.327,148.537
1225,6.12000,skull,phantom3,Measured,351.600,347.025,90.564
1225,6.12000,skull,phantom4,Measured,301.806,319.802,154.354
1225,6.12000,catheter,tip1,Measured,60.842,119.303,372.890
1225,6.12000,catheter,tip2,Measured,43.935,97.663,426.947
1225,6.12000,catheter,tip3,Virtual,146.403,297.542,232.639
1225,6.12000,catheter,tip4,Measured,30.589,144.855,386.068
1226,6.12500,skull,phantom1,Measured,338.596,353.121,182.608
1226,6.12500,skull,phantom2,Measured,302.135,413.318,148.541
1226,6.12500,skull,phantom3,Measured,351.601,347.002,90.551
1226,6.12500,skull,phantom4,Measured,301.804,319.814,154.351
1226,6.12500,catheter,tip1,Measured,60.439,119.657,372.762
1226,6.12500,catheter,tip2,Measured,43.346,98.182,426.737
1226,6.12500,catheter,tip3,Virtual,146.897,297.396,232.351
1226,6.12500,catheter,tip4,Measured,30.226,145.333,385.711
1227,6.13000,skull,phantom1,Measured,338.601,353.127,182.605
1227,6.13000,skull,phantom2,Measured,302.129,413.321,148.539
1227,6.13000,skull,phantom3,Measured,351.599,347.037,90.564
1227,6.13000,skull,phantom4,Measured,301.790,319.820,154.361
1227,6.13000,catheter,tip1,Measured,60.055,120.144,372.491
1227,6.13000,catheter,tip2,Measured,42.710,98.781,426.382
1227,6.13000,catheter,tip3,Virtual,147.053,297.835,232.420
1227,6.13000,catheter,tip4,Measured,29.828,145.713,385.516
1228,6.13500,skull,phantom1,Measured,338.601,353.130,182.613
1228,6.13500,skull,phantom2,Measured,302.125,413.338,148.527
1228,6.13500,skull,phantom3,Measured,351.607,347.041,90.566
1228,6.13500,skull,phantom4,Measured,301.797,319.826,154.353
1228,6.13500,catheter,tip1,Measured,59.633,120.515,372.216
1228,6.13500,catheter,tip2,Measured,42.114,99.329,426.026
1228,6.13500,catheter,tip3,Virtual,147.737,297.677,232.099
1228,6.13500,catheter,tip4,Measured,29.503,146.293,385.158
1229,6.14000,skull,phantom1,Measured,338.599,353.135,182.610
1229,6.14000,skull,phantom2,Measured,302.122,413.334,148.531
1229,6.14000,skull,phantom3,Measured,351.602,347.046,90.563
1229,6.14000,skull,phantom4,Measured,301.796,319.836,154.369
1229,6.14000,catheter,tip1,Measured,59.200,121.027,371.865
1229,6.14000,catheter,tip2,Measured,41.575,99.739,425.809
1229,6.14000,catheter,tip3,Virtual,148.316,297.752,231.882
1229,6.14000,catheter,tip4,Measured,29.194,147.024,384.675
1230,6.14500,skull,phantom1,Measured,338.597,353.146,182.610
1230,6.14500,skull,phantom2,Measured,302.132,413.339,148.526
1230,6.14500,skull,phantom3,Measured,351.606,347.043,90.555
1230,6.14500,skull,phantom4,Measured,301.797,319.845,154.354
1230,6.14500,catheter,tip1,Measured,58.747,121.474,371.544
1230,6.14500,catheter,tip2,Measured,40.977,100.293,425.343
1230,6.14500,catheter,tip3,Virtual,148.512,298.147,231.918
1230,6.14500,catheter,tip4,Measured,28.836,147.438,384.520
1231,6.15000,skull,phantom1,Measured,338.602,353.160,182.601
1231,6.15000,skull,phantom2,Measured,302.126,413.347,148.526
1231,6.15000,skull,phantom3,Measured,351.604,347.041,90.554
1231,6.15000,skull,phantom4,Measured,301.803,319.842,154.349
1231,6.15000,catheter,tip1,Measured,58.289,121.923,371.142
1231,6.15000,catheter,tip2,Measured,40.404,100.746,424.940
1231,6.15000,catheter,tip3,Virtual,148.950,298.340,231.805
1231,6.15000,catheter,tip4,Measured,28.516,148.007,384.203
1232,6.15500,skull,phantom1,Measured,338.595,353.159,182.602
1232,6.15500,skull,phantom2,Measured,302.142,413.344,148.526
1232,6.15500,skull,phantom3,Measured,351.596,347.057,90.559
1232,6.15500,skull,phantom4,Measured,301.799,319.852,154.354
1232,6.15500,catheter,tip1,Measured,57.829,122.344,370.764
1232,6.15500,catheter,tip2,Measured,39.896,101.163,424.488
1232,6.15500,catheter,tip3,Virtual,149.319,298.599,231.728
1232,6.15500,catheter,tip4,Measured,28.218,148.572,383.910
1233,6.16000,skull,phantom1,Measured,338.600,353.166,182.600
1233,6.16000,skull,phantom2,Measured,302.129,413.353,148.516
1233,6.16000,skull,phantom3,Measured,351.607,347.054,90.558
1233,6.16000,skull,phantom4,Measured,301.800,319.845,154.359
1233,6.16000,catheter,tip1,Measured,57.437,122.750,370.404
1233,6.16000,catheter,tip2,Measured,39.389,101.553,424.094
1233,6.16000,catheter,tip3,Virtual,149.887,298.788,231.716
1233,6.16000,catheter,tip4,Measured,27.948,149.159,383.586
1234,6.16500,skull,phantom1,Measured,338.602,353.161,182.613
1234,6.16500,skull,phantom2,Measured,302.152,413.359,148.517
1234,6.16500,skull,phantom3,Measured,351.607,347.049,90.563
1234,6.16500,skull,phantom4,Measured,301.795,319.856,154.357
1234,6.16500,catheter,tip1,Measured,56.998,123.123,370.000
1234,6.16500,catheter,tip2,Measured,38.931,101.835,423.782
1234,6.16500,catheter,tip3,Virtual,150.317,298.771,231.394
1234,6.16500,catheter,tip4,Measured,27.666,149.794,383.121
1235,6.17000,skull,phantom1,Measured,338.597,353.174,182.606
1235,6.17000,skull,phantom2,Measured,302.131,413.366,148.512
1235,6.17000,skull,phantom3,Measured,351.607,347.062,90.553
1235,6.17000,skull,phantom4,Measured,301.802,319.850,154.352
1235,6.17000,catheter,tip1,Measured,56.643,123.446,369.678
1235,6.17000,catheter,tip2,Measured,38.469,102.262,423.245
1235,6.17000,catheter,tip3,Virtual,150.528,299.181,231.523
1235,6.17000,catheter,tip4,Measured,27.403,150.085,382.995
1236,6.17500,skull,phantom1,Measured,338.609,353.154,182.598
1236,6.17500,skull,phantom2,Measured,302.130,413.370,148.524
1236,6.17500,skull,phantom3,Measured,351.602,347.064,90.557
1236,6.17500,skull,phantom4,Measured,301.802,319.857,154.359
1236,6.17500,catheter,tip1,Measured,56.323,123.844,369.308
1236,6.17500,catheter,tip2,Measured,38.099,102.600,422.867
1236,6.17500,catheter,tip3,Virtual,150.671,299.570,231.498
1236,6.17500,catheter,tip4,Measured,27.179,150.511,382.740
1237,6.18000,skull,phantom1,Measured,338.604,353.174,182.596
1237,6.18000,skull,phantom2,Measured,302.134,413.360,148.525
1237,6.18000,skull,phantom3,Measured,351.602,347.056,90.564
1237,6.18000,skull,phantom4,Measured,301.807,319.855,154.354
1237,6.18000,catheter,tip1,Measured,56.076,124.181,368.976
1237,6.18000,catheter,tip2,Measured,37.725,102.929,422.571
1237,6.18000,catheter,tip3,Virtual,151.005,299.726,231.362
1237,6.18000,catheter,tip4,Measured,26.952,150.962,382.391
1238,6.18500,skull,phantom1,Measured,338.607,353.170,182.612
1238,6.18500,skull,phantom2,Measured,302.145,413.363,148.518
1238,6.18500,skull,phantom3,Measured,351.608,347.062,90.561
1238,6.18500,skull,phantom4,Measured,301.800,319.856,154.364
1238,6.18500,catheter,tip1,Measured,55.826,124.534,368.726
1238,6.18500,catheter,tip2,Measured,37.447,103.155,422.381
1238,6.18500,catheter,tip3,Virtual,151.053,300.028,231.251
